case,baseline_makespan,baseline_added,makespan_n1,added_n1,speedup_n1,makespan_n2,added_n2,speedup_n2,makespan_n3,added_n3,speedup_n3,makespan_n4,added_n4,speedup_n4,makespan_n5,added_n5,speedup_n5
case_001,233110,0,233110,0,1.0,116868,1152,1.9946,78545,2304,2.9679,58984,3456,3.9521,47502,4608,4.9074
case_002,261945,0,261945,0,1.0,133718,64512,1.9589,90573,55296,2.8921,69677,86016,3.7594,56971,112128,4.5979
case_003,602212,0,602212,0,1.0,570359,635864,1.0558,293021,3020998,2.0552,225768,3757030,2.6674,255629,4549018,2.3558
case_004,392357,0,392357,0,1.0,199074,110592,1.9709,134043,221184,2.9271,104188,331776,3.7659,88341,442368,4.4414
case_005,95618,0,95618,0,1.0,70129,973304,1.3635,55861,1143334,1.7117,61110,991308,1.5647,57829,1242270,1.6535
case_006,82837,16400,82837,16400,1.0,46988,79376,1.7629,36031,363168,2.299,34266,623020,2.4175,29306,377182,2.8266
case_007,1012562,0,1012562,0,1.0,507494,27648,1.9952,338094,55296,2.9949,254398,82944,3.9802,203834,110592,4.9676
case_008,487605,0,487605,0,1.0,244266,0,1.9962,163359,0,2.9849,123060,0,3.9623,100603,0,4.8468
case_009,153261,0,153261,0,1.0,140221,370072,1.093,90469,668908,1.6941,89196,778468,1.7182,68245,825050,2.2457
case_010,86969,0,86969,0,1.0,44202,27648,1.9675,38265,441632,2.2728,35660,676806,2.4388,33508,775994,2.5955
case_011,184697,0,184697,0,1.0,92646,180224,1.9936,69625,1081344,2.6527,46880,540672,3.9398,46777,1216512,3.9485
case_012,59088,0,59088,0,1.0,29841,0,1.9801,21665,0,2.7273,19044,118134,3.1027,18241,101380,3.2393
case_013,263949,0,263949,0,1.0,132198,8192,1.9966,88351,16384,2.9875,66982,24576,3.9406,54363,32768,4.8553
case_014,17698626,71010720,17698626,71010720,1.0,8904271,76033440,1.9877,5983408,83403168,2.958,4569939,69468576,3.8728,3722693,70838688,4.7543
case_015,177362,180256,177362,180256,1.0,88439,216336,2.0055,61168,290056,2.8996,53029,248832,3.3446,59931,1445952,2.9594
case_016,7715523,0,7715523,0,1.0,7717072,393220,0.9998,7718621,786440,0.9996,7720170,1179660,0.9994,7721719,1572880,0.9992
case_017,162810,22528,162810,22528,1.0,82310,81792,1.978,57528,163584,2.8301,46304,245376,3.5161,36065,322560,4.5143
case_018,1004367,1970176,1004367,1970176,1.0,505446,3347456,1.9871,338456,3903872,2.9675,254778,5118976,3.9421,204554,3661824,4.91
case_019,81144,0,81144,0,1.0,41518,0,1.9544,30948,251444,2.6219,25631,189456,3.1659,27559,478800,2.9444
case_020,532746,0,532746,0,1.0,266580,0,1.9984,177950,0,2.9938,133704,0,3.9845,107574,0,4.9524
case_021,6567937,4501504,6567937,4501504,1.0,3104250,7372800,2.1158,2144024,7766016,3.0634,1550324,4608000,4.2365,1250168,11431936,5.2536
case_022,56780,0,56780,0,1.0,28674,0,1.9802,19800,0,2.8677,14940,0,3.8005,19574,186784,2.9008
case_023,122614,0,122614,0,1.0,60749,0,2.0184,41575,147456,2.9492,30864,147456,3.9727,24927,221184,4.9189
case_024,2555343,0,2555343,0,1.0,2555343,0,1.0,2473380,61410808,1.0331,2359817,67376908,1.0829,2053364,67770326,1.2445
case_025,4863026,0,4863026,0,1.0,2431840,27648,1.9997,1622164,55296,2.9979,1217444,82944,3.9945,975282,110592,4.9863
case_026,99203,0,99203,0,1.0,58472,185780,1.6966,57920,770240,1.7128,46327,445288,2.1414,45904,447736,2.1611
case_027,2363952,1400832,2363952,1400832,1.0,1120962,1744896,2.1089,837049,3686400,2.8242,559196,3317760,4.2274,558753,5529600,4.2308
case_028,43836040,277412256,43836040,277412256,1.0,23638628,277473600,1.8544,16770711,277369056,2.6138,13608312,277760640,3.2213,11491035,277818912,3.8148
case_029,37555,0,37555,0,1.0,19740,0,1.9025,12743,0,2.9471,11028,0,3.4054,9383,0,4.0025
case_030,2808034,5519360,2808034,5519360,1.0,1401186,7644160,2.004,931329,9363456,3.0151,701262,10560000,4.0043,561417,11588608,5.0017
case_031,1414369,3491328,1414369,3491328,1.0,711725,4032000,1.9872,506462,4403712,2.7926,367052,4574208,3.8533,293958,4816896,4.8115
case_032,41443,0,41443,0,1.0,23591,145580,1.7567,20179,209160,2.0538,17735,267502,2.3368,11904,127130,3.4814
case_033,1774196,4592640,1774196,4592640,1.0,893844,4953600,1.9849,589568,7086144,3.0093,446802,7344224,3.9709,357201,8111232,4.9669
case_034,842996,1079832,842996,1079832,1.0,418733,1864192,2.0132,278567,2647040,3.0262,225165,3101184,3.7439,180411,3532800,4.6726
case_035,169571,0,169571,0,1.0,152418,888436,1.1125,106705,205126,1.5892,115295,1071056,1.4708,92181,1174610,1.8395
case_036,931510,0,931510,0,1.0,466068,1152,1.9987,311345,2304,2.9919,233584,3456,3.9879,187182,4608,4.9765
case_037,210001,0,210001,0,1.0,105374,204800,1.9929,74038,1064960,2.8364,53320,614400,3.9385,43013,1310720,4.8823
case_038,1364555,5627904,1364555,5627904,1.0,679097,5607936,2.0094,460870,5721600,2.9608,345585,6024192,3.9485,275584,9409536,4.9515
case_039,1435262,7929856,1435262,7929856,1.0,692660,9805824,2.0721,485565,14323712,2.9559,395323,17604608,3.6306,327297,8065024,4.3852
case_040,253454,0,253454,0,1.0,205478,270868,1.2335,164803,712880,1.5379,154465,644330,1.6409,170488,2917354,1.4866
case_041,6003957,30898176,6003957,30898176,1.0,2986534,33595392,2.0103,1994174,35017728,3.0107,1496957,38879232,4.0108,1193573,40452096,5.0302
case_042,1686740,6629376,1686740,6629376,1.0,842623,7265568,2.0018,577743,7409664,2.9195,434592,8503584,3.8812,359995,9965568,4.6855
case_043,677656,49160,677656,49160,1.0,415881,2796628,1.6294,303961,3969214,2.2294,246558,4016686,2.7485,234354,4895842,2.8916
case_044,154407,4438112,154407,4438112,1.0,96401,1283040,1.6017,104311,4052160,1.4803,123553,5161216,1.2497,131105,4672992,1.1777
case_045,125614,0,125614,0,1.0,63059,0,1.992,42601,0,2.9486,31878,0,3.9405,26088,0,4.815
case_046,276455,3176288,276455,3176288,1.0,151992,1819232,1.8189,142176,4021280,1.9445,124612,4513952,2.2185,142691,4192544,1.9374
case_047,326508,0,326508,0,1.0,327633,68680,0.9966,162674,1531918,2.0071,154972,1910350,2.1069,137150,2292614,2.3807
case_048,222220,0,222220,0,1.0,214615,615242,1.0354,208666,580204,1.065,203854,552668,1.0901,203854,552668,1.0901
case_049,196276,0,196276,0,1.0,184809,547532,1.062,135785,404608,1.4455,78810,701264,2.4905,78895,912566,2.4878
case_050,149690,0,149690,0,1.0,134987,435378,1.1089,71842,583052,2.0836,61002,654496,2.4539,60066,745434,2.4921
case_051,607628,0,607628,0,1.0,607628,0,1.0,549836,19138090,1.1051,533409,16713772,1.1391,493017,16648208,1.2325
case_052,180301,0,180301,0,1.0,92022,73728,1.9593,62271,147456,2.8954,49871,221184,3.6153,37926,73728,4.754
case_053,1472686,5405536,1472686,5405536,1.0,765204,5921504,1.9246,679492,9094058,2.1673,690972,6935576,2.1313,495416,6980120,2.9726
case_054,815051,0,815051,0,1.0,657841,472660,1.239,364389,2171082,2.2368,275253,2564814,2.9611,283445,3069390,2.8755
case_055,118835,69632,118835,69632,1.0,58624,49152,2.0271,38093,32768,3.1196,31823,115712,3.7342,26800,198656,4.4341
case_056,277285,0,277285,0,1.0,160760,1511624,1.7248,148748,1632002,1.8641,116709,1276180,2.3759,98991,1359730,2.8011
case_057,59726,94216,59726,94216,1.0,33614,0,1.7768,26147,118852,2.2842,22025,180060,2.7117,18596,168018,3.2118
case_058,4539717,28696576,4539717,28696576,1.0,2448313,28782592,1.8542,1554831,30400512,2.9197,1154519,42622976,3.9321,1004819,32104448,4.5179
case_059,829473,1691648,829473,1691648,1.0,369318,360448,2.246,266217,2998272,3.1158,185216,1081344,4.4784,150782,4325376,5.5011
case_060,888789,2068520,888789,2068520,1.0,454346,2701324,1.9562,311884,3114112,2.8497,232939,3217544,3.8155,196763,4039168,4.5171
case_061,77191,0,77191,0,1.0,38873,25344,1.9857,41271,94228,1.8703,28476,146708,2.7107,23868,110634,3.2341
case_062,2854809,0,2854809,0,1.0,1430273,44544,1.996,955282,86016,2.9884,718555,115200,3.973,575863,153600,4.9574
case_063,1070397,0,1070397,0,1.0,537888,76800,1.99,360120,105984,2.9723,271192,104448,3.947,219045,132096,4.8867
case_064,19116,0,19116,0,1.0,19116,0,1.0,17695,115524,1.0803,18511,122110,1.0327,18500,98176,1.0333
case_065,53068,0,53068,0,1.0,26219,13824,2.024,17966,27648,2.9538,13745,41472,3.8609,11421,55296,4.6465
case_066,359070,0,359070,0,1.0,238413,1463240,1.5061,172004,1921586,2.0876,161230,2084054,2.2271,124349,2206448,2.8876
case_067,63834834,264449408,63834834,264449408,1.0,33768704,264024576,1.8904,23568859,263599744,2.7084,18473155,263174912,3.4555,15931687,262750080,4.0068
case_068,362095,0,362095,0,1.0,269741,1920100,1.3424,189361,2662408,1.9122,189361,2662408,1.9122,263747,1518452,1.3729
case_069,25144,0,25144,0,1.0,25144,0,1.0,25144,0,1.0,20326,562340,1.237,21160,576936,1.1883
case_070,117300,0,117300,0,1.0,58469,88064,2.0062,42877,176128,2.7357,32371,264192,3.6236,30646,352256,3.8276
case_071,18919,0,18919,0,1.0,18919,0,1.0,17924,371096,1.0555,16809,167556,1.1255,16465,384780,1.149
case_072,23897828,108613680,23897828,108613680,1.0,11846123,113201200,2.0174,8011141,119410736,2.9831,5983611,122892336,3.9939,4822195,130109488,4.9558
case_073,10081626,141570432,10081626,141570432,1.0,5980423,141121024,1.6858,4515227,140671616,2.2328,3903787,140222208,2.5825,3517515,139772800,2.8661
