case,num_cores,makespan_noL2,makespan_L2,added_noL2,added_L2,cache_hit_rate,cache_speedup
case_001,1,233110,233110,0,0,0.0,1.0
case_001,2,116868,116868,1152,1152,0.0,1.0
case_001,3,78545,78545,2304,2304,0.0,1.0
case_001,4,58984,58984,3456,3456,0.0,1.0
case_001,5,47502,47502,4608,4608,0.0,1.0
case_002,1,261945,261945,0,0,0.0,1.0
case_002,2,121768,121768,90624,90624,0.0108,1.0
case_002,3,82329,82329,138240,138240,0.0141,1.0
case_002,4,65392,65392,181248,181248,0.0277,1.0
case_002,5,54581,54581,207360,207360,0.0171,1.0
case_003,1,602212,602212,0,0,0.0,1.0
case_003,2,285420,285418,1550994,1550994,0.1609,1.0
case_003,3,252886,251261,2358296,2358296,0.2428,1.0065
case_003,4,182260,179646,3927966,3927966,0.4042,1.0146
case_003,5,187529,179939,4663460,4663460,0.4726,1.0422
case_004,1,392357,392357,0,0,0.0,1.0
case_004,2,195960,195960,1382400,1382400,0.1671,1.0
case_004,3,130725,130725,221184,221184,0.0,1.0
case_004,4,100126,100126,331776,331776,0.1412,1.0
case_004,5,83319,83319,442368,442368,0.0,1.0
case_005,1,95618,95618,0,0,0.0,1.0
case_005,2,52975,52945,477222,477222,0.1775,1.0006
case_005,3,38293,38024,804684,804684,0.2771,1.0071
case_005,4,39047,36155,1236978,1236978,0.3776,1.08
case_005,5,36630,35497,837720,837720,0.3481,1.0319
case_006,1,82837,82837,16400,16400,0.0293,1.0
case_006,2,43854,43776,76680,76680,0.0809,1.0018
case_006,3,27488,26930,618368,618368,0.4343,1.0207
case_006,4,28827,25382,856926,856926,0.4323,1.1357
case_006,5,28244,22533,916100,916100,0.4157,1.2535
case_007,1,1012562,1012562,0,0,0.0,1.0
case_007,2,507494,507494,27648,27648,0.0,1.0
case_007,3,338094,338094,55296,55296,0.0,1.0
case_007,4,254398,254398,82944,82944,0.0,1.0
case_007,5,203834,203834,110592,110592,0.0,1.0
case_008,1,487605,487605,0,0,0.0,1.0
case_008,2,155082,155082,0,0,0.0,1.0
case_008,3,110895,110895,0,0,0.0,1.0
case_008,4,88500,88500,0,0,0.0,1.0
case_008,5,71833,71833,0,0,0.0,1.0
case_009,1,153261,153261,0,0,0.0,1.0
case_009,2,91267,91263,299150,299150,0.2236,1.0
case_009,3,66004,65976,574108,574108,0.2948,1.0004
case_009,4,63921,63026,747930,747930,0.423,1.0142
case_009,5,49750,48320,929592,929592,0.3756,1.0296
case_010,1,86969,86969,0,0,0.0,1.0
case_010,2,41582,41582,496332,496332,0.243,1.0
case_010,3,27958,27337,548196,548196,0.1996,1.0227
