eval_problem,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path,proxy_fallback,case,problem,num_cores,mono_fix
1,capls,c0,0,0.011,0.122,True,116868,1152,1152.0,0.0,1640704.0,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35}",True,results\plans\case_001_p1_n2_capls_best.json,False,case_001,1,2,False
1,capls,c0,0,0.021,0.091,True,78545,2304,2304.0,0.0,1641856.0,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35}",True,results\plans\case_001_p1_n3_capls_best.json,False,case_001,1,3,False
1,capls,c0,0,0.028,0.123,True,58984,3456,3456.0,0.0,1643008.0,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35}",True,results\plans\case_001_p1_n4_capls_best.json,False,case_001,1,4,False
1,capls,c0,0,0.038,0.118,True,47502,4608,4608.0,0.0,1644160.0,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35}",True,results\plans\case_001_p1_n5_capls_best.json,False,case_001,1,5,False
2,capls,c0,0,0.011,0.098,True,116868,1152,1152.0,0.0,1640704.0,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35}",True,results\plans\case_001_p2_n2_capls_best.json,False,case_001,2,2,False
2,capls,c0,0,0.029,0.098,True,78545,2304,2304.0,0.0,1641856.0,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35}",True,results\plans\case_001_p2_n3_capls_best.json,False,case_001,2,3,False
2,capls,c0,0,0.042,0.083,True,58984,3456,3456.0,0.0,1643008.0,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35}",True,results\plans\case_001_p2_n4_capls_best.json,False,case_001,2,4,False
2,capls,c0,0,0.035,0.096,True,47502,4608,4608.0,0.0,1644160.0,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35}",True,results\plans\case_001_p2_n5_capls_best.json,False,case_001,2,5,False
3,capls,c0,0,0.016,0.082,True,116868,1152,1152.0,0.0,1640704.0,0.0,0.0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n2_capls_best.json,False,case_001,3,2,False
3,capls,c0,0,0.031,0.065,True,78545,2304,2304.0,0.0,1641856.0,0.0,0.0,3,233110,,2.9678528232223567,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n3_capls_best.json,False,case_001,3,3,False
3,capls,c0,0,0.028,0.076,True,58984,3456,3456.0,0.0,1643008.0,0.0,0.0,4,233110,,3.952088702020887,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n4_capls_best.json,False,case_001,3,4,False
3,capls,c0,0,0.056,0.077,True,47502,4608,4608.0,0.0,1644160.0,0.0,0.0,5,233110,,4.9073723211654245,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n5_capls_best.json,False,case_001,3,5,False
1,capls,sa2,0,0.559,0.557,True,132841,1575936,1575936.0,0.0,2800128.0,,,9,261945,,1.9718686248974338,"{""anneal"": true}",True,results\plans\case_002_p1_n2_capls_best.json,False,case_002,1,2,False
