case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_001,3,3,3,ablation,full,0.026,0.065,True,78545,2304,0.0,233110,3,,2.9678528232223567
case_001,3,3,3,ablation,no_comm,0.009,0.066,True,81663,100608,0.03689292405245713,233110,6,,2.8545363261207646
case_001,3,3,3,ablation,no_balance,0.003,0.065,True,78545,2304,0.0,233110,3,,2.9678528232223567
case_001,3,3,3,ablation,no_sync,0.014,0.066,True,78545,2304,0.0,233110,3,,2.9678528232223567
case_001,3,3,3,ablation,no_localsearch,0.005,0.101,True,78545,2304,0.0,233110,3,,2.9678528232223567
case_001,3,3,3,ablation,no_cache_aware,0.019,0.094,True,78545,2304,0.0,233110,3,,2.9678528232223567
case_001,3,3,3,ablation,no_level,0.027,0.069,True,78545,2304,0.0,233110,200,,2.9678528232223567
case_001,2,2,2,ablation,full,0.02,0.094,True,116868,1152,,233110,2,,1.9946435294520313
case_001,2,2,2,ablation,no_comm,0.006,0.092,True,119765,38016,,233110,4,,1.9463950235878595
case_001,2,2,2,ablation,no_balance,0.003,0.075,True,116868,1152,,233110,2,,1.9946435294520313
case_001,2,2,2,ablation,no_sync,0.015,0.097,True,116868,1152,,233110,2,,1.9946435294520313
case_001,2,2,2,ablation,no_localsearch,0.005,0.108,True,116868,1152,,233110,2,,1.9946435294520313
case_001,2,2,2,ablation,no_cache_aware,0.017,0.077,True,116868,1152,,233110,2,,1.9946435294520313
case_001,2,2,2,ablation,no_level,0.011,0.066,True,116868,1152,,233110,200,,1.9946435294520313
case_001,2,2,3,ablation,full,0.025,0.096,True,78545,2304,,233110,3,,2.9678528232223567
case_001,2,2,3,ablation,no_comm,0.013,0.082,True,81697,100608,,233110,6,,2.8533483481645594
case_001,2,2,3,ablation,no_balance,0.003,0.099,True,78545,2304,,233110,3,,2.9678528232223567
