case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_001,1,1,4,ablation2,full_c2,0.044,0.123,True,58984,3456,,233110,4,,3.952088702020887
case_001,1,1,4,ablation2,no_comm,0.023,0.071,True,62866,138624,,233110,8,,3.7080456844717333
case_001,1,1,4,ablation2,no_sync,0.028,0.123,True,58984,3456,,233110,4,,3.952088702020887
case_001,1,1,4,ablation2,no_localsearch,0.007,0.123,True,58984,3456,,233110,4,,3.952088702020887
case_001,1,1,4,ablation2,no_level,0.042,0.219,True,102300,229248,,233110,200,,2.278690127077224
case_001,1,1,4,ablation2,no_level_no_comm,0.021,0.066,True,246000,147840,,233110,12,,0.9476016260162602
case_001,1,1,4,ablation2,max_ops500,0.034,0.123,True,58984,3456,,233110,4,,3.952088702020887
case_001,1,1,4,ablation2,lvl_alap,0.027,0.123,True,58984,3456,,233110,4,,3.952088702020887
case_001,1,1,4,ablation2,lvl_compress,0.029,0.123,True,58984,3456,,233110,4,,3.952088702020887
case_001,1,1,2,ablation2,full_c2,0.036,0.122,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,2,ablation2,no_comm,0.008,0.149,True,120672,62592,,233110,4,,1.9317654468310792
case_001,1,1,2,ablation2,no_sync,0.014,0.122,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,2,ablation2,no_localsearch,0.01,0.122,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,2,ablation2,no_level,0.02,0.226,True,173100,229248,,233110,200,,1.346678220681687
case_001,1,1,2,ablation2,no_level_no_comm,0.006,0.136,True,239052,67200,,233110,6,,0.9751434834262002
case_001,1,1,2,ablation2,max_ops500,0.013,0.122,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,2,ablation2,lvl_alap,0.013,0.122,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,2,ablation2,lvl_compress,0.014,0.122,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,3,ablation2,full_c2,0.032,0.091,True,78545,2304,,233110,3,,2.9678528232223567
case_001,1,1,3,ablation2,no_comm,0.01,0.137,True,83039,100608,,233110,6,,2.8072351545659266
case_001,1,1,3,ablation2,no_sync,0.023,0.091,True,78545,2304,,233110,3,,2.9678528232223567
case_001,1,1,3,ablation2,no_localsearch,0.01,0.091,True,78545,2304,,233110,3,,2.9678528232223567
case_001,1,1,3,ablation2,no_level,0.03,0.271,True,126372,229248,,233110,200,,1.8446333048460102
case_001,1,1,3,ablation2,no_level_no_comm,0.019,0.121,True,242526,107520,,233110,9,,0.9611752966692231
case_001,1,1,3,ablation2,max_ops500,0.02,0.091,True,78545,2304,,233110,3,,2.9678528232223567
case_001,1,1,3,ablation2,lvl_alap,0.021,0.091,True,78545,2304,,233110,3,,2.9678528232223567
case_001,1,1,3,ablation2,lvl_compress,0.02,0.091,True,78545,2304,,233110,3,,2.9678528232223567
case_004,1,1,2,ablation2,full_c2,0.025,0.192,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,2,ablation2,no_comm,0.01,0.162,True,201257,310272,,392357,4,,1.9495321901846892
case_004,1,1,2,ablation2,no_sync,0.017,0.192,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,2,ablation2,no_localsearch,0.006,0.192,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,2,ablation2,no_level,0.012,0.216,True,289507,12165120,,392357,111,,1.3552591129057328
case_004,1,1,2,ablation2,no_level_no_comm,0.01,0.123,True,402608,648192,,392357,6,,0.9745385089218297
case_004,1,1,2,ablation2,max_ops500,0.023,0.192,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,2,ablation2,lvl_alap,0.022,0.192,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,2,ablation2,lvl_compress,0.02,0.192,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,3,ablation2,full_c2,0.046,0.115,True,134043,221184,,392357,3,,2.927098020784375
case_004,1,1,3,ablation2,no_comm,0.016,0.135,True,140026,479232,,392357,6,,2.8020296230700015
case_004,1,1,3,ablation2,no_sync,0.031,0.115,True,134043,221184,,392357,3,,2.927098020784375
case_004,1,1,3,ablation2,no_localsearch,0.009,0.115,True,134043,221184,,392357,3,,2.927098020784375
case_004,1,1,3,ablation2,no_level,0.031,0.193,True,263895,12165120,,392357,111,,1.48679209534095
case_004,1,1,3,ablation2,no_level_no_comm,0.018,0.13,True,407877,1032192,,392357,9,,0.9619493131507783
case_004,1,1,3,ablation2,max_ops500,0.035,0.115,True,134043,221184,,392357,3,,2.927098020784375
case_004,1,1,3,ablation2,lvl_alap,0.032,0.115,True,134043,221184,,392357,3,,2.927098020784375
case_004,1,1,3,ablation2,lvl_compress,0.039,0.115,True,134043,221184,,392357,3,,2.927098020784375
case_001,1,1,5,ablation2,full_c2,0.057,0.118,True,47502,4608,,233110,5,,4.9073723211654245
case_001,1,1,5,ablation2,no_comm,0.017,0.129,True,53169,176640,,233110,10,,4.384321691211044
case_001,1,1,5,ablation2,no_sync,0.041,0.118,True,47502,4608,,233110,5,,4.9073723211654245
case_001,1,1,5,ablation2,no_localsearch,0.009,0.118,True,47502,4608,,233110,5,,4.9073723211654245
case_001,1,1,5,ablation2,no_level,0.062,0.22,True,88140,229248,,233110,200,,2.6447696845926933
case_001,1,1,5,ablation2,no_level_no_comm,0.031,0.134,True,249474,188160,,233110,15,,0.9344059902033879
case_001,1,1,5,ablation2,max_ops500,0.066,0.118,True,47502,4608,,233110,5,,4.9073723211654245
case_001,1,1,5,ablation2,lvl_alap,0.056,0.118,True,47502,4608,,233110,5,,4.9073723211654245
case_001,1,1,5,ablation2,lvl_compress,0.039,0.118,True,47502,4608,,233110,5,,4.9073723211654245
