case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup
case_001,1,1,2,random,,0,0.013,0.189,True,255371,3419392,3419392,0,5058944,,,11,233110,,0.9128287863539712
case_001,1,1,2,topo,,0,0.003,0.09,True,118572,8064,8064,0,1647616,,,8,233110,,1.965978477212158
case_001,1,1,2,balance,,0,0.003,0.09,True,118572,8064,8064,0,1647616,,,8,233110,,1.965978477212158
case_001,1,1,2,comm,,0,0.006,0.226,True,173100,229248,229248,0,1868800,,,200,233110,,1.346678220681687
case_001,2,2,5,random,,0,0.015,0.153,True,158510,2929152,2929152,0,4568704,,,27,233110,,1.4706327676487287
case_001,2,2,5,topo,,0,0.001,0.062,True,47502,4608,4608,0,1644160,,,20,233110,,4.9073723211654245
case_001,2,2,5,balance,,0,0.001,0.062,True,47502,4608,4608,0,1644160,,,20,233110,,4.9073723211654245
case_001,2,2,5,comm,,0,0.003,0.08,True,47502,4608,4608,0,1644160,,,200,233110,,4.9073723211654245
case_001,2,2,2,random,,0,0.009,0.148,True,200469,1733760,1733760,0,3373312,,,11,233110,,1.1628231796437354
case_001,2,2,2,topo,,0,0.003,0.115,True,116868,1152,1152,0,1640704,,,8,233110,,1.9946435294520313
case_001,2,2,2,balance,,0,0.002,0.115,True,116868,1152,1152,0,1640704,,,8,233110,,1.9946435294520313
case_001,2,2,2,comm,,0,0.005,0.104,True,116868,1152,1152,0,1640704,,,200,233110,,1.9946435294520313
case_001,1,1,3,random,,0,0.015,0.16,True,261172,3581440,3581440,0,5220992,,,15,233110,,0.8925535662322148
case_001,1,1,3,topo,,0,0.001,0.076,True,246000,147840,147840,0,1787392,,,12,233110,,0.9476016260162602
case_001,1,1,3,balance,,0,0.002,0.102,True,246000,147840,147840,0,1787392,,,12,233110,,0.9476016260162602
case_001,1,1,3,comm,,0,0.006,0.271,True,126372,229248,229248,0,1868800,,,200,233110,,1.8446333048460102
