case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup
case_001,2,2,4,capls,0.03,0,0.218,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,2,2,4,capls,0.06,0,0.033,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,2,2,4,capls,0.12,0,0.042,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,2,2,4,capls,0.25,0,0.034,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,2,2,4,capls,0.5,0,0.039,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,2,2,4,capls,1.0,0,0.035,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,2,2,4,capls,2.0,0,0.026,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,1,1,4,capls,0.03,0,0.24,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,1,1,4,capls,0.06,0,0.026,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,1,1,4,capls,0.12,0,0.038,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,1,1,4,capls,0.25,0,0.035,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,1,1,4,capls,0.5,0,0.036,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,1,1,4,capls,1.0,0,0.04,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,1,1,4,capls,2.0,0,0.042,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887
case_001,3,3,4,capls,0.03,0,0.201,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887
case_001,3,3,4,capls,0.06,0,0.033,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887
