problem,num_cores,case,mk_over_lb,cdf
1,2,case_079,1.0008,0.01
1,2,case_020,1.001,0.02
1,2,case_036,1.001,0.03
1,2,case_097,1.001,0.04
1,2,case_059,1.0011,0.05
1,2,case_021,1.0021,0.06
1,2,case_013,1.0026,0.07
1,2,case_001,1.004,0.08
1,2,case_027,1.0044,0.09
1,2,case_011,1.0046,0.1
1,2,case_045,1.0051,0.11
1,2,case_039,1.0054,0.12
1,2,case_037,1.0055,0.13
1,2,case_030,1.0057,0.14
1,2,case_080,1.0097,0.15
1,2,case_076,1.0121,0.16
1,2,case_081,1.0131,0.17
1,2,case_041,1.0132,0.18
1,2,case_099,1.0156,0.19
1,2,case_072,1.0182,0.2
1,2,case_091,1.0226,0.21
1,2,case_093,1.0228,0.22
1,2,case_038,1.0251,0.23
1,2,case_014,1.0262,0.24
1,2,case_004,1.0325,0.25
1,2,case_025,1.0342,0.26
1,2,case_033,1.0345,0.27
1,2,case_018,1.0365,0.28
1,2,case_007,1.0367,0.29
1,2,case_058,1.0399,0.3
1,2,case_074,1.0471,0.31
1,2,case_029,1.0532,0.32
1,2,case_042,1.0539,0.33
1,2,case_022,1.0603,0.34
1,2,case_078,1.0609,0.35
1,2,case_031,1.0667,0.36
1,2,case_028,1.0678,0.37
1,2,case_061,1.088,0.38
1,2,case_062,1.0923,0.39
1,2,case_063,1.0959,0.4
1,2,case_087,1.1094,0.41
1,2,case_002,1.1143,0.42
1,2,case_034,1.1179,0.43
1,2,case_067,1.145,0.44
1,2,case_089,1.1775,0.45
1,2,case_092,1.1847,0.46
1,2,case_077,1.2072,0.47
1,2,case_060,1.2552,0.48
1,2,case_053,1.262,0.49
1,2,case_070,1.2734,0.5
1,2,case_006,1.2894,0.51
1,2,case_052,1.2915,0.52
1,2,case_056,1.3072,0.53
1,2,case_032,1.326,0.54
1,2,case_094,1.3378,0.55
1,2,case_098,1.3678,0.56
1,2,case_057,1.4134,0.57
1,2,case_046,1.4527,0.58
1,2,case_073,1.4593,0.59
1,2,case_017,1.4884,0.6
1,2,case_083,1.5414,0.61
1,2,case_075,1.5839,0.62
1,2,case_010,1.593,0.63
1,2,case_090,1.5943,0.64
1,2,case_035,1.5984,0.65
1,2,case_043,1.6065,0.66
1,2,case_026,1.6525,0.67
1,2,case_096,1.6652,0.68
1,2,case_012,1.6778,0.69
1,2,case_055,1.698,0.7
1,2,case_019,1.7143,0.71
1,2,case_015,1.7427,0.72
1,2,case_023,1.7467,0.73
1,2,case_066,1.768,0.74
1,2,case_065,1.7765,0.75
1,2,case_050,1.8225,0.76
1,2,case_095,1.9493,0.77
1,2,case_008,1.9531,0.78
1,2,case_084,1.9818,0.79
1,2,case_016,2.0001,0.8
1,2,case_024,2.0004,0.81
1,2,case_051,2.0018,0.82
1,2,case_100,2.0104,0.83
1,2,case_005,2.0398,0.84
1,2,case_088,2.0474,0.85
1,2,case_068,2.1298,0.86
1,2,case_054,2.1569,0.87
1,2,case_009,2.1985,0.88
1,2,case_040,2.2124,0.89
1,2,case_049,2.2304,0.9
1,2,case_047,2.2966,0.91
1,2,case_085,2.3766,0.92
1,2,case_064,2.4284,0.93
1,2,case_082,2.5197,0.94
1,2,case_044,2.5913,0.95
1,2,case_003,2.5997,0.96
1,2,case_086,2.6067,0.97
1,2,case_048,2.7981,0.98
1,2,case_069,3.016,0.99
1,2,case_071,3.0188,1.0
1,3,case_079,1.001,0.01
1,3,case_020,1.0023,0.02
1,3,case_036,1.003,0.03
1,3,case_013,1.0051,0.04
1,3,case_030,1.0063,0.05
1,3,case_076,1.0116,0.06
1,3,case_001,1.0122,0.07
1,3,case_041,1.0148,0.08
1,3,case_093,1.0181,0.09
1,3,case_045,1.0185,0.1
1,3,case_099,1.0193,0.11
1,3,case_029,1.0198,0.12
1,3,case_021,1.0223,0.13
1,3,case_033,1.0235,0.14
1,3,case_081,1.027,0.15
1,3,case_091,1.0284,0.16
1,3,case_025,1.0348,0.17
1,3,case_074,1.0349,0.18
1,3,case_072,1.0355,0.19
1,3,case_007,1.036,0.2
1,3,case_038,1.0399,0.21
1,3,case_080,1.0413,0.22
1,3,case_014,1.0415,0.23
1,3,case_097,1.0415,0.24
1,3,case_004,1.0428,0.25
1,3,case_018,1.0453,0.26
1,3,case_058,1.046,0.27
1,3,case_039,1.0557,0.28
1,3,case_037,1.0597,0.29
1,3,case_027,1.0675,0.3
1,3,case_031,1.0682,0.31
1,3,case_042,1.08,0.32
1,3,case_059,1.0825,0.33
1,3,case_062,1.0945,0.34
1,3,case_022,1.0982,0.35
1,3,case_063,1.1006,0.36
1,3,case_011,1.1131,0.37
1,3,case_034,1.1155,0.38
1,3,case_002,1.1322,0.39
1,3,case_028,1.1386,0.4
1,3,case_067,1.1992,0.41
1,3,case_087,1.2182,0.42
1,3,case_089,1.2406,0.43
1,3,case_060,1.2454,0.44
1,3,case_052,1.2916,0.45
1,3,case_077,1.312,0.46
1,3,case_070,1.3544,0.47
1,3,case_061,1.373,0.48
1,3,case_078,1.3888,0.49
1,3,case_082,1.4169,0.5
1,3,case_094,1.4407,0.51
1,3,case_098,1.5275,0.52
1,3,case_017,1.5487,0.53
1,3,case_006,1.5666,0.54
1,3,case_050,1.6155,0.55
1,3,case_057,1.6491,0.56
1,3,case_055,1.655,0.57
1,3,case_073,1.6599,0.58
1,3,case_053,1.6809,0.59
1,3,case_043,1.7493,0.6
1,3,case_032,1.763,0.61
1,3,case_092,1.7771,0.62
1,3,case_023,1.7931,0.63
1,3,case_015,1.808,0.64
1,3,case_056,1.8143,0.65
1,3,case_065,1.8259,0.66
1,3,case_012,1.8271,0.67
1,3,case_047,1.8543,0.68
1,3,case_095,1.8602,0.69
1,3,case_066,1.8789,0.7
1,3,case_083,1.8966,0.71
1,3,case_054,1.9038,0.72
1,3,case_085,1.9099,0.73
1,3,case_003,1.9146,0.74
1,3,case_019,1.9168,0.75
1,3,case_008,1.9593,0.76
1,3,case_084,1.9807,0.77
1,3,case_088,1.9964,0.78
1,3,case_046,2.0384,0.79
1,3,case_075,2.0584,0.8
1,3,case_010,2.0685,0.81
1,3,case_068,2.0736,0.82
1,3,case_090,2.1038,0.83
1,3,case_035,2.2244,0.84
1,3,case_009,2.2619,0.85
1,3,case_040,2.3136,0.86
1,3,case_086,2.3585,0.87
1,3,case_026,2.4553,0.88
1,3,case_049,2.4582,0.89
1,3,case_096,2.4635,0.9
1,3,case_100,2.5433,0.91
1,3,case_005,2.6233,0.92
1,3,case_051,2.7171,0.93
1,3,case_048,2.7471,0.94
1,3,case_024,2.9044,0.95
