case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_001,1,1,2,capls,pool:a_full,0,0.018,0.122,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""p1_pruned_labels"": 4}",True,results\plans_final\case_001_p1_n2.json
case_001,1,1,3,capls,pool:a_full,0,0.029,0.091,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""p1_pruned_labels"": 4}",True,results\plans_final\case_001_p1_n3.json
case_001,1,1,4,capls,pool:a_full,0,0.044,0.123,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""p1_pruned_labels"": 4}",True,results\plans_final\case_001_p1_n4.json
case_001,1,1,5,capls,pool:a_full,0,0.051,0.118,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""p1_pruned_labels"": 4}",True,results\plans_final\case_001_p1_n5.json
case_001,2,2,2,capls,pool:a_full,0,0.1,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,{},True,results\plans_final\case_001_p2_n2.json
case_001,2,2,3,capls,pool:a_full,0,0.035,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,{},True,results\plans_final\case_001_p2_n3.json
case_001,2,2,4,capls,pool:a_full,0,0.039,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,{},True,results\plans_final\case_001_p2_n4.json
case_001,2,2,5,capls,pool:a_full,0,0.048,0.096,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,{},True,results\plans_final\case_001_p2_n5.json
case_001,3,3,2,capls,pool:a_full,0,0.02,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,{},True,results\plans_final\case_001_p3_n2.json
case_001,3,3,3,capls,pool:a_full,0,0.031,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,{},True,results\plans_final\case_001_p3_n3.json
case_001,3,3,4,capls,pool:a_full,0,0.041,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,{},True,results\plans_final\case_001_p3_n4.json
case_001,3,3,5,capls,pool:a_full,0,0.049,0.077,True,47502,4608,4608,0,1644160,0.0,0,5,233110,,4.9073723211654245,{},True,results\plans_final\case_001_p3_n5.json
case_002,1,1,2,capls,pool:sa2,0,0.023,0.557,True,132841,1575936,1575936,0,2800128,,,9,261945,,1.9718686248974338,"{""label"": ""sa2"", ""p1_pruned_labels"": 8}",True,results\plans_final\case_002_p1_n2.json
case_002,1,1,3,capls,pool:c3,0,0.066,0.43,True,90573,55296,55296,0,1279488,,,6,261945,,2.8920870458083536,"{""block_cap"": 0.35, ""init"": ""contig"", ""p1_pruned_labels"": 10}",True,results\plans_final\case_002_p1_n3.json
case_002,1,1,4,capls,pool:c3,0,0.074,0.363,True,69677,86016,86016,0,1310208,,,8,261945,,3.7594184594629505,"{""block_cap"": 0.35, ""init"": ""contig"", ""p1_pruned_labels"": 10}",True,results\plans_final\case_002_p1_n4.json
case_002,1,1,5,capls,pool:c3,0,0.173,0.286,True,56971,112128,112128,0,1336320,,,11,261945,,4.597865580734058,"{""block_cap"": 0.35, ""init"": ""contig"", ""p1_pruned_labels"": 10}",True,results\plans_final\case_002_p1_n5.json
case_002,2,2,2,capls,pool:c14,0,0.236,0.28,True,121768,90624,90624,0,1314816,,,1798,261945,,2.1511809342355956,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_002_p2_n2.json
case_002,2,2,3,capls,pool:c14,0,0.283,0.24,True,82329,138240,138240,0,1362432,,,1798,261945,,3.1816856757643115,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_002_p2_n3.json
case_002,2,2,4,capls,pool:cross_from_p3,0,0.0,0.325,True,65392,181248,181248,0,1405440,,,1798,261945,,4.005765231220945,cross_from_p3,True,results\plans_final\case_002_p2_n4.json
case_002,2,2,5,capls,pool:cross_from_p3,0,0.0,0.272,True,54581,207360,207360,0,1431552,,,1798,261945,,4.799197522947546,cross_from_p3,True,results\plans_final\case_002_p2_n5.json
case_002,3,3,2,capls,pool:c14,0,0.259,0.242,True,121768,90624,90624,0,1314816,0.010843373493975903,13824,1798,261945,,2.1511809342355956,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_002_p3_n2.json
case_002,3,3,3,capls,pool:c14,0,0.257,0.178,True,82329,138240,138240,0,1362432,0.01411764705882353,18432,1798,261945,,3.1816856757643115,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_002_p3_n3.json
case_002,3,3,4,capls,pool:s10,0,0.247,0.295,True,65392,181248,181248,0,1405440,0.02768166089965398,36864,1798,261945,,4.005765231220945,s10,True,results\plans_final\case_002_p3_n4.json
case_002,3,3,5,capls,pool:cross_from_p2,0,0.0,0.295,True,54581,207360,207360,0,1431552,0.01710376282782212,23040,1798,261945,,4.799197522947546,cross_from_p2,True,results\plans_final\case_002_p3_n5.json
case_003,1,1,2,capls,pool:c12,0,0.477,7.241,True,548523,1659238,1659238,0,2943502,,,14,602212,,1.0978792138160114,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill"", ""p1_pruned_labels"": 9}",True,results\plans_final\case_003_p1_n2.json
case_003,1,1,3,capls,pool:a_no_balance,0,0.223,6.266,True,280031,3040688,3040688,0,4324952,,,57,602212,,2.150519049676643,"{""_rr"": true, ""comm_weight"": 0.0, ""local_search"": false, ""p1_pruned_labels"": 8}",True,results\plans_final\case_003_p1_n3.json
case_003,1,1,4,capls,pool:a_no_balance,0,0.241,7.07,True,225366,3751658,3751658,0,5035922,,,76,602212,,2.6721510786897755,"{""_rr"": true, ""comm_weight"": 0.0, ""local_search"": false, ""p1_pruned_labels"": 5}",True,results\plans_final\case_003_p1_n4.json
case_003,1,1,5,capls,pool:a_no_localsearch,0,0.448,6.348,True,224860,4539968,4539968,0,5824232,,,89,602212,,2.6781641910522103,"{""local_search"": false, ""p1_pruned_labels"": 9}",True,results\plans_final\case_003_p1_n5.json
case_003,2,2,2,capls,pool:c17,0,2.246,3.691,True,285420,1550994,1550994,0,2835258,,,13455,602212,,2.109915212669049,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_003_p2_n2.json
case_003,2,2,3,capls,pool:c14,0,2.618,3.266,True,252886,2358296,2358296,0,3642560,,,13455,602212,,2.381357607775836,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_003_p2_n3.json
case_003,2,2,4,capls,pool:c14,0,3.171,2.995,True,182260,3927966,3927966,0,5212230,,,13455,602212,,3.3041369472182596,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_003_p2_n4.json
case_003,2,2,5,capls,pool:cross_from_p3,0,0.0,3.637,True,182260,3927966,3927966,0,5212230,,,13455,602212,,3.3041369472182596,cross_from_p3,True,results\plans_final\case_003_p2_n5.json
case_003,3,3,2,capls,pool:c17,0,2.302,3.899,True,285418,1550994,1550994,0,2835258,0.16091581920273273,374790,13455,602212,,2.1099299974073116,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_003_p3_n2.json
case_003,3,3,3,capls,pool:c14,0,2.414,3.293,True,251261,2358296,2358296,0,3642560,0.2427908593323933,687372,13455,602212,,2.3967587488706963,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_003_p3_n3.json
case_003,3,3,4,capls,pool:c14,0,3.494,3.26,True,179646,3927966,3927966,0,5212230,0.4041731407126148,1632018,13455,602212,,3.352214911548267,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_003_p3_n4.json
case_003,3,3,5,capls,pool:cross_from_p2,0,0.0,3.322,True,179646,3927966,3927966,0,5212230,0.4041731407126148,1632018,13455,602212,,3.352214911548267,cross_from_p2,True,results\plans_final\case_003_p3_n5.json
case_004,1,1,2,capls,pool:a_full,0,0.021,0.192,True,199074,110592,110592,0,903168,,,2,392357,,1.9709103147573264,"{""p1_pruned_labels"": 4}",True,results\plans_final\case_004_p1_n2.json
case_004,1,1,3,capls,pool:a_full,0,0.031,0.115,True,134043,221184,221184,0,1013760,,,3,392357,,2.927098020784375,"{""p1_pruned_labels"": 4}",True,results\plans_final\case_004_p1_n3.json
case_004,1,1,4,capls,pool:a_full,0,0.038,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""p1_pruned_labels"": 5}",True,results\plans_final\case_004_p1_n4.json
case_004,1,1,5,capls,pool:a_full,0,0.051,0.116,True,88341,442368,442368,0,1234944,,,5,392357,,4.441391879195391,"{""p1_pruned_labels"": 5}",True,results\plans_final\case_004_p1_n5.json
case_004,2,2,2,capls,pool:cross_from_p3,0,0.0,0.15,True,195960,1382400,110592,1271808,2174976,,,777,392357,,2.0022300469483567,cross_from_p3,True,results\plans_final\case_004_p2_n2.json
case_004,2,2,3,capls,pool:c14,0,0.113,0.118,True,130725,221184,221184,0,1013760,,,777,392357,,3.001392235609103,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_004_p2_n3.json
case_004,2,2,4,capls,pool:c14,0,0.112,0.112,True,100126,331776,331776,0,1124352,,,777,392357,,3.9186325230209937,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_004_p2_n4.json
case_004,2,2,5,capls,pool:c14,0,0.102,0.134,True,83319,442368,442368,0,1234944,,,777,392357,,4.709093964161836,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_004_p2_n5.json
case_004,3,3,2,capls,pool:cross_from_p2,0,0.0,0.146,True,195960,1382400,110592,1271808,2174976,0.16706443914081145,215040,777,392357,,2.0022300469483567,cross_from_p2,True,results\plans_final\case_004_p3_n2.json
case_004,3,3,3,capls,pool:c14,0,0.098,0.131,True,130725,221184,221184,0,1013760,0.0,0,777,392357,,3.001392235609103,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_004_p3_n3.json
case_004,3,3,4,capls,pool:c14,0,0.1,0.134,True,100126,331776,331776,0,1124352,0.1411764705882353,110592,777,392357,,3.9186325230209937,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_004_p3_n4.json
case_004,3,3,5,capls,pool:c14,0,0.107,0.105,True,83319,442368,442368,0,1234944,0.0,0,777,392357,,4.709093964161836,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_004_p3_n5.json
case_005,1,1,2,capls,pool:a_no_balance,0,0.064,1.479,True,65153,929524,929524,0,1262938,,,20,95618,,1.4675916688410358,"{""_rr"": true, ""comm_weight"": 0.0, ""local_search"": false, ""p1_pruned_labels"": 5}",True,results\plans_final\case_005_p1_n2.json
case_005,1,1,3,capls,pool:sa2,0,0.014,0.921,True,55517,1143334,1143334,0,1476748,,,21,95618,,1.7223192895869734,"{""label"": ""sa2"", ""p1_pruned_labels"": 8}",True,results\plans_final\case_005_p1_n3.json
case_005,1,1,4,capls,pool:a_no_balance,0,0.076,1.393,True,51248,1263492,1263492,0,1596906,,,40,95618,,1.865789884483297,"{""_rr"": true, ""comm_weight"": 0.0, ""local_search"": false, ""p1_pruned_labels"": 6}",True,results\plans_final\case_005_p1_n4.json
case_005,1,1,5,capls,pool:embed_n4,0,0.0,1.13,True,51248,1263492,1263492,0,1596906,,,40,95618,,1.865789884483297,"{""label"": ""embed_n4"", ""p1_pruned_labels"": 9}",True,results\plans_final\case_005_p1_n5.json
case_005,2,2,2,capls,pool:c14,0,0.475,0.952,True,52975,477222,477222,0,810636,,,4113,95618,,1.804964605946201,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_005_p2_n2.json
