case,problem,num_cores,makespan,speedup,added_copy_bytes,cache_hit_rate,n_subgraphs,plan
case_001,1,2,116868,1.9946,1152,,2,results\final_plans\p1\n2\case_001_multicore_res.json
case_001,1,3,78545,2.9679,2304,,3,results\final_plans\p1\n3\case_001_multicore_res.json
case_001,1,4,58984,3.9521,3456,,4,results\final_plans\p1\n4\case_001_multicore_res.json
case_001,1,5,47502,4.9074,4608,,5,results\final_plans\p1\n5\case_001_multicore_res.json
case_001,2,2,116868,1.9946,1152,,2,results\final_plans\p2\n2\case_001_multicore_res.json
case_001,2,3,78545,2.9679,2304,,3,results\final_plans\p2\n3\case_001_multicore_res.json
case_001,2,4,58984,3.9521,3456,,4,results\final_plans\p2\n4\case_001_multicore_res.json
case_001,2,5,47502,4.9074,4608,,5,results\final_plans\p2\n5\case_001_multicore_res.json
case_001,3,2,116868,1.9946,1152,0.0,2,results\final_plans\p3\n2\case_001_multicore_res.json
case_001,3,3,78545,2.9679,2304,0.0,3,results\final_plans\p3\n3\case_001_multicore_res.json
case_001,3,4,58984,3.9521,3456,0.0,4,results\final_plans\p3\n4\case_001_multicore_res.json
case_001,3,5,47502,4.9074,4608,0.0,5,results\final_plans\p3\n5\case_001_multicore_res.json
case_002,1,2,133718,1.9589,64512,,5,results\final_plans\p1\n2\case_002_multicore_res.json
case_002,1,3,90573,2.8921,55296,,6,results\final_plans\p1\n3\case_002_multicore_res.json
case_002,1,4,69677,3.7594,86016,,8,results\final_plans\p1\n4\case_002_multicore_res.json
case_002,1,5,56971,4.5979,112128,,11,results\final_plans\p1\n5\case_002_multicore_res.json
case_002,2,2,132666,1.9745,49152,,5,results\final_plans\p2\n2\case_002_multicore_res.json
case_002,2,3,89399,2.9301,47616,,6,results\final_plans\p2\n3\case_002_multicore_res.json
case_002,2,4,68632,3.8167,69120,,8,results\final_plans\p2\n4\case_002_multicore_res.json
case_002,2,5,55382,4.7298,133632,,15,results\final_plans\p2\n5\case_002_multicore_res.json
case_002,3,2,132548,1.9762,49152,0.007361963190184049,5,results\final_plans\p3\n2\case_002_multicore_res.json
case_002,3,3,89399,2.9301,47616,0.0036900369003690036,6,results\final_plans\p3\n3\case_002_multicore_res.json
case_002,3,4,68578,3.8197,69120,0.010935601458080195,8,results\final_plans\p3\n4\case_002_multicore_res.json
case_002,3,5,55399,4.7283,133632,0.024705882352941175,15,results\final_plans\p3\n5\case_002_multicore_res.json
case_003,1,2,570359,1.0558,635864,,6,results\final_plans\p1\n2\case_003_multicore_res.json
case_003,1,3,280031,2.1505,3040688,,57,results\final_plans\p1\n3\case_003_multicore_res.json
case_003,1,4,225366,2.6722,3751658,,76,results\final_plans\p1\n4\case_003_multicore_res.json
case_003,1,5,224860,2.6782,4539968,,89,results\final_plans\p1\n5\case_003_multicore_res.json
case_003,2,2,536722,1.122,3471814,,47,results\final_plans\p2\n2\case_003_multicore_res.json
case_003,2,3,266848,2.2568,2444568,,57,results\final_plans\p2\n3\case_003_multicore_res.json
case_003,2,4,202683,2.9712,3646612,,69,results\final_plans\p2\n4\case_003_multicore_res.json
case_003,2,5,201395,2.9902,3984160,,80,results\final_plans\p2\n5\case_003_multicore_res.json
case_003,3,2,536307,1.1229,3471814,0.12168152875749272,47,results\final_plans\p3\n2\case_003_multicore_res.json
case_003,3,3,264862,2.2737,2444568,0.3716942463477117,57,results\final_plans\p3\n3\case_003_multicore_res.json
case_003,3,4,201215,2.9929,3927966,0.3908910483075684,76,results\final_plans\p3\n4\case_003_multicore_res.json
case_003,3,5,197643,3.047,3984160,0.4228184132656841,80,results\final_plans\p3\n5\case_003_multicore_res.json
case_004,1,2,199074,1.9709,110592,,2,results\final_plans\p1\n2\case_004_multicore_res.json
case_004,1,3,134043,2.9271,221184,,3,results\final_plans\p1\n3\case_004_multicore_res.json
case_004,1,4,104188,3.7659,331776,,4,results\final_plans\p1\n4\case_004_multicore_res.json
case_004,1,5,88341,4.4414,442368,,5,results\final_plans\p1\n5\case_004_multicore_res.json
case_004,2,2,199074,1.9709,110592,,2,results\final_plans\p2\n2\case_004_multicore_res.json
case_004,2,3,134043,2.9271,221184,,3,results\final_plans\p2\n3\case_004_multicore_res.json
case_004,2,4,104188,3.7659,331776,,4,results\final_plans\p2\n4\case_004_multicore_res.json
case_004,2,5,87898,4.4638,635904,,9,results\final_plans\p2\n5\case_004_multicore_res.json
case_004,3,2,199074,1.9709,110592,0.0,2,results\final_plans\p3\n2\case_004_multicore_res.json
case_004,3,3,134043,2.9271,221184,0.0,3,results\final_plans\p3\n3\case_004_multicore_res.json
case_004,3,4,104188,3.7659,331776,0.0,4,results\final_plans\p3\n4\case_004_multicore_res.json
case_004,3,5,87898,4.4638,635904,0.02147239263803681,9,results\final_plans\p3\n5\case_004_multicore_res.json
case_005,1,2,65153,1.4676,929524,,20,results\final_plans\p1\n2\case_005_multicore_res.json
case_005,1,3,55861,1.7117,1143334,,21,results\final_plans\p1\n3\case_005_multicore_res.json
case_005,1,4,51248,1.8658,1263492,,40,results\final_plans\p1\n4\case_005_multicore_res.json
case_005,1,5,51248,1.8658,1263492,,40,results\final_plans\p1\n5\case_005_multicore_res.json
case_005,2,2,58949,1.622,477222,,20,results\final_plans\p2\n2\case_005_multicore_res.json
case_005,2,3,50445,1.8955,804492,,30,results\final_plans\p2\n3\case_005_multicore_res.json
case_005,2,4,43177,2.2146,1236978,,40,results\final_plans\p2\n4\case_005_multicore_res.json
case_005,2,5,43177,2.2146,1236978,,40,results\final_plans\p2\n5\case_005_multicore_res.json
case_005,3,2,58915,1.623,477222,0.15040308104050393,20,results\final_plans\p3\n2\case_005_multicore_res.json
case_005,3,3,50402,1.8971,804492,0.26649916121897826,30,results\final_plans\p3\n3\case_005_multicore_res.json
case_005,3,4,41118,2.3255,1236978,0.4525913671883503,40,results\final_plans\p3\n4\case_005_multicore_res.json
case_005,3,5,41118,2.3255,1236978,0.4525913671883503,40,results\final_plans\p3\n5\case_005_multicore_res.json
case_006,1,2,44485,1.8621,686320,,6,results\final_plans\p1\n2\case_006_multicore_res.json
case_006,1,3,36031,2.299,363168,,6,results\final_plans\p1\n3\case_006_multicore_res.json
case_006,1,4,34266,2.4175,623020,,17,results\final_plans\p1\n4\case_006_multicore_res.json
case_006,1,5,29306,2.8266,377182,,13,results\final_plans\p1\n5\case_006_multicore_res.json
case_006,2,2,40056,2.068,501324,,6,results\final_plans\p2\n2\case_006_multicore_res.json
case_006,2,3,31153,2.659,0,,3,results\final_plans\p2\n3\case_006_multicore_res.json
case_006,2,4,28831,2.8732,470922,,17,results\final_plans\p2\n4\case_006_multicore_res.json
case_006,2,5,24473,3.3848,328006,,13,results\final_plans\p2\n5\case_006_multicore_res.json
case_006,3,2,39976,2.0722,501324,0.35050985215534075,6,results\final_plans\p3\n2\case_006_multicore_res.json
case_006,3,3,31153,2.659,0,0.0,3,results\final_plans\p3\n3\case_006_multicore_res.json
case_006,3,4,28056,2.9526,707624,0.44549437823543137,18,results\final_plans\p3\n4\case_006_multicore_res.json
case_006,3,5,24403,3.3945,868170,0.42849214420294995,24,results\final_plans\p3\n5\case_006_multicore_res.json
case_007,1,2,507494,1.9952,27648,,2,results\final_plans\p1\n2\case_007_multicore_res.json
case_007,1,3,338094,2.9949,55296,,3,results\final_plans\p1\n3\case_007_multicore_res.json
case_007,1,4,254398,3.9802,82944,,4,results\final_plans\p1\n4\case_007_multicore_res.json
case_007,1,5,203834,4.9676,110592,,5,results\final_plans\p1\n5\case_007_multicore_res.json
case_007,2,2,507494,1.9952,27648,,2,results\final_plans\p2\n2\case_007_multicore_res.json
