case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup
case_004,3,3,4,capls,0.03,0,0.062,0.17,True,111686,2036736,2036736,0,2829312,0.18877551020408162,340992,8,392357,,3.5130365488960122
case_004,3,3,4,capls,0.06,0,0.039,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887
case_004,3,3,4,capls,0.12,0,0.025,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887
case_004,3,3,4,capls,0.25,0,0.025,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887
case_004,3,3,4,capls,0.5,0,0.024,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887
case_004,3,3,4,capls,1.0,0,0.025,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887
case_004,3,3,4,capls,2.0,0,0.025,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887
case_004,2,2,4,capls,0.03,0,0.061,0.248,True,111686,2036736,2036736,0,2829312,,,8,392357,,3.5130365488960122
case_004,2,2,4,capls,0.06,0,0.034,0.075,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_004,2,2,4,capls,0.12,0,0.041,0.075,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_004,2,2,4,capls,0.25,0,0.024,0.075,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_004,2,2,4,capls,0.5,0,0.031,0.075,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_004,2,2,4,capls,1.0,0,0.038,0.075,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_004,2,2,4,capls,2.0,0,0.025,0.075,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_008,3,3,4,capls,0.03,0,0.094,0.179,True,136939,1511424,1511424,0,4165848,0.0,0,8,487605,,3.5607460256026404
case_008,3,3,4,capls,0.06,0,0.033,0.177,True,123060,0,0,0,2654424,0.0,0,4,487605,,3.962335446123842
case_008,3,3,4,capls,0.12,0,0.036,0.177,True,123060,0,0,0,2654424,0.0,0,4,487605,,3.962335446123842
case_008,3,3,4,capls,0.25,0,0.034,0.177,True,123060,0,0,0,2654424,0.0,0,4,487605,,3.962335446123842
case_008,3,3,4,capls,0.5,0,0.038,0.177,True,123060,0,0,0,2654424,0.0,0,4,487605,,3.962335446123842
case_008,3,3,4,capls,1.0,0,0.026,0.177,True,123060,0,0,0,2654424,0.0,0,4,487605,,3.962335446123842
case_008,3,3,4,capls,2.0,0,0.025,0.177,True,123060,0,0,0,2654424,0.0,0,4,487605,,3.962335446123842
case_008,2,2,4,capls,0.03,0,0.134,0.16,True,136939,1511424,1511424,0,4165848,,,8,487605,,3.5607460256026404
case_008,2,2,4,capls,0.06,0,0.038,0.145,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_008,2,2,4,capls,0.12,0,0.037,0.145,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_008,2,2,4,capls,0.25,0,0.032,0.145,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_008,2,2,4,capls,0.5,0,0.037,0.145,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_008,2,2,4,capls,1.0,0,0.028,0.145,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_008,2,2,4,capls,2.0,0,0.028,0.145,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_004,1,1,4,capls,0.03,0,0.058,0.191,True,118150,3741696,3741696,0,4534272,,,8,392357,,3.3208379179009735
case_004,1,1,4,capls,0.06,0,0.024,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_004,1,1,4,capls,0.12,0,0.024,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_004,1,1,4,capls,0.25,0,0.024,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_004,1,1,4,capls,0.5,0,0.036,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_004,1,1,4,capls,1.0,0,0.037,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_004,1,1,4,capls,2.0,0,0.035,0.148,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887
case_008,1,1,4,capls,0.03,0,0.11,0.183,True,141352,1511424,1511424,0,4165848,,,8,487605,,3.44957977248288
case_008,1,1,4,capls,0.06,0,0.024,0.23,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_008,1,1,4,capls,0.12,0,0.025,0.23,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_008,1,1,4,capls,0.25,0,0.027,0.23,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_008,1,1,4,capls,0.5,0,0.039,0.23,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_008,1,1,4,capls,1.0,0,0.027,0.23,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_008,1,1,4,capls,2.0,0,0.026,0.23,True,123060,0,0,0,2654424,,,4,487605,,3.962335446123842
case_010,2,2,4,capls,0.03,0,0.086,0.177,True,36624,567344,567344,0,951494,,,15,86969,,2.3746450415028395
case_010,2,2,4,capls,0.06,0,0.068,0.132,True,36135,552980,552980,0,937130,,,16,86969,,2.4067801300678013
case_010,2,2,4,capls,0.12,0,0.07,0.114,True,40433,525980,525980,0,910130,,,14,86969,,2.1509410629930996
case_010,2,2,4,capls,0.25,0,0.055,0.141,True,36585,491996,491996,0,876146,,,16,86969,,2.377176438431051
case_010,2,2,4,capls,0.5,0,0.068,0.096,True,30780,469788,469788,0,853938,,,14,86969,,2.8255035737491876
case_010,2,2,4,capls,1.0,0,0.076,0.106,True,33822,556932,556932,0,941082,,,9,86969,,2.5713736621134173
case_010,2,2,4,capls,2.0,0,0.022,0.139,True,31144,0,0,0,384150,,,4,86969,,2.792480092473671
case_010,3,3,4,capls,0.03,0,0.111,0.194,True,30615,757028,757028,0,1141178,0.275588602979477,253956,23,86969,,2.8407316674832597
case_010,3,3,4,capls,0.06,0,0.08,0.129,True,32941,802316,802316,0,1186466,0.3470855174667823,331332,20,86969,,2.6401445007741113
case_010,3,3,4,capls,0.12,0,0.045,0.167,True,30639,838088,838088,0,1222238,0.3634577959726942,360452,23,86969,,2.838506478670975
case_010,3,3,4,capls,0.25,0,0.038,0.158,True,40591,786072,786072,0,1170222,0.390406609341031,377474,18,86969,,2.1425685496785003
case_010,3,3,4,capls,0.5,0,0.08,0.127,True,34973,777884,777884,0,1162034,0.3695695492077198,356098,14,86969,,2.48674691905184
case_010,3,3,4,capls,1.0,0,0.066,0.116,True,38050,562628,562628,0,946778,0.3737175119244622,307136,8,86969,,2.2856504599211562
case_010,3,3,4,capls,2.0,0,0.021,0.074,True,31144,0,0,0,384150,0.0,0,4,86969,,2.792480092473671
case_012,1,1,4,capls,0.03,0,0.144,0.242,True,21494,127792,127792,0,682690,,,9,59088,,2.7490462454638505
case_012,1,1,4,capls,0.06,0,0.137,0.249,True,22840,145344,145344,0,700242,,,9,59088,,2.5870402802101577
case_012,1,1,4,capls,0.12,0,0.12,0.288,True,19925,110786,110786,0,665684,,,7,59088,,2.9655207026348807
case_012,1,1,4,capls,0.25,0,0.104,0.246,True,21808,146892,146892,0,701790,,,8,59088,,2.709464416727806
case_012,1,1,4,capls,0.5,0,0.107,0.321,True,19624,84540,84540,0,639438,,,8,59088,,3.0110069302894416
case_012,1,1,4,capls,1.0,0,0.022,0.208,True,18774,0,0,0,554898,,,4,59088,,3.1473314157877916
case_012,1,1,4,capls,2.0,0,0.022,0.208,True,18774,0,0,0,554898,,,4,59088,,3.1473314157877916
case_012,2,2,4,capls,0.03,0,0.098,0.093,True,18848,89632,89632,0,644530,,,9,59088,,3.134974533106961
case_012,2,2,4,capls,0.06,0,0.116,0.101,True,22442,119488,119488,0,674386,,,9,59088,,2.632920417075127
case_012,2,2,4,capls,0.12,0,0.106,0.133,True,19547,90290,90290,0,645188,,,7,59088,,3.0228679592776384
case_012,2,2,4,capls,0.25,0,0.083,0.157,True,20091,119740,119740,0,674638,,,8,59088,,2.941018366432731
case_012,2,2,4,capls,0.5,0,0.12,0.156,True,18089,73016,73016,0,627914,,,8,59088,,3.2665155619437227
case_012,2,2,4,capls,1.0,0,0.031,0.104,True,18774,0,0,0,554898,,,4,59088,,3.1473314157877916
case_012,2,2,4,capls,2.0,0,0.029,0.104,True,18774,0,0,0,554898,,,4,59088,,3.1473314157877916
case_007,1,1,4,capls,0.03,0,0.118,1.49,True,254398,82944,82944,0,1815552,,,4,1012562,,3.980227831979811
case_007,1,1,4,capls,0.06,0,0.119,1.49,True,254398,82944,82944,0,1815552,,,4,1012562,,3.980227831979811
case_007,1,1,4,capls,0.12,0,0.12,1.49,True,254398,82944,82944,0,1815552,,,4,1012562,,3.980227831979811
case_007,1,1,4,capls,0.25,0,0.125,1.49,True,254398,82944,82944,0,1815552,,,4,1012562,,3.980227831979811
case_007,1,1,4,capls,0.5,0,0.132,1.49,True,254398,82944,82944,0,1815552,,,4,1012562,,3.980227831979811
case_007,1,1,4,capls,1.0,0,0.103,1.49,True,254398,82944,82944,0,1815552,,,4,1012562,,3.980227831979811
case_007,1,1,4,capls,2.0,0,0.104,1.49,True,254398,82944,82944,0,1815552,,,4,1012562,,3.980227831979811
case_007,3,3,4,capls,0.03,0,0.116,0.651,True,254398,82944,82944,0,1815552,0.0,0,4,1012562,,3.980227831979811
case_007,3,3,4,capls,0.06,0,0.134,0.651,True,254398,82944,82944,0,1815552,0.0,0,4,1012562,,3.980227831979811
case_007,3,3,4,capls,0.12,0,0.104,0.651,True,254398,82944,82944,0,1815552,0.0,0,4,1012562,,3.980227831979811
case_007,3,3,4,capls,0.25,0,0.095,0.651,True,254398,82944,82944,0,1815552,0.0,0,4,1012562,,3.980227831979811
case_007,3,3,4,capls,0.5,0,0.1,0.651,True,254398,82944,82944,0,1815552,0.0,0,4,1012562,,3.980227831979811
case_007,3,3,4,capls,1.0,0,0.137,0.651,True,254398,82944,82944,0,1815552,0.0,0,4,1012562,,3.980227831979811
case_007,3,3,4,capls,2.0,0,0.132,0.651,True,254398,82944,82944,0,1815552,0.0,0,4,1012562,,3.980227831979811
case_012,3,3,4,capls,0.03,0,0.128,0.155,True,19007,191500,191500,0,746398,0.18794392437563692,122830,11,59088,,3.1087494081128004
case_012,3,3,4,capls,0.06,0,0.127,0.171,True,19236,178950,178950,0,733848,0.19747614555464485,127694,12,59088,,3.071740486587648
case_012,3,3,4,capls,0.12,0,0.111,0.144,True,18318,156668,156668,0,711566,0.1905519629309028,119752,10,59088,,3.2256796593514574
case_012,3,3,4,capls,0.25,0,0.117,0.134,True,16805,156658,156658,0,711556,0.21010371681077966,132038,10,59088,,3.516096399880988
case_012,3,3,4,capls,0.5,0,0.121,0.135,True,20558,157436,157436,0,712334,0.21680466501741807,137416,9,59088,,2.8742095534585075
case_012,3,3,4,capls,1.0,0,0.033,0.167,True,18774,0,0,0,554898,0.0,0,4,59088,,3.1473314157877916
case_012,3,3,4,capls,2.0,0,0.022,0.167,True,18774,0,0,0,554898,0.0,0,4,59088,,3.1473314157877916
case_010,1,1,4,capls,0.03,0,0.104,0.092,True,41208,710858,710858,0,1095008,,,15,86969,,2.110488254707824
case_010,1,1,4,capls,0.06,0,0.059,0.093,True,39850,751734,751734,0,1135884,,,16,86969,,2.1824090338770388
case_010,1,1,4,capls,0.12,0,0.052,0.088,True,37679,603698,603698,0,987848,,,12,86969,,2.3081557366172136
case_010,1,1,4,capls,0.25,0,0.052,0.094,True,43130,803386,803386,0,1187536,,,16,86969,,2.0164386737769533
case_010,1,1,4,capls,0.5,0,0.051,0.143,True,35860,496302,496302,0,880452,,,14,86969,,2.4252370329057444
case_010,1,1,4,capls,1.0,0,0.052,0.121,True,41795,725260,725260,0,1109410,,,9,86969,,2.080846991266898
case_010,1,1,4,capls,2.0,0,0.014,0.083,True,31144,0,0,0,384150,,,4,86969,,2.792480092473671
case_026,2,2,4,capls,0.03,0,0.087,0.075,True,51460,732564,732564,0,1261418,,,27,99203,,1.927769141080451
case_026,2,2,4,capls,0.06,0,0.076,0.139,True,45940,777304,777304,0,1306158,,,18,99203,,2.1594035698737484
case_026,2,2,4,capls,0.12,0,0.067,0.079,True,54453,649148,649148,0,1178002,,,15,99203,,1.8218096339962904
case_026,2,2,4,capls,0.25,0,0.061,0.137,True,54574,698212,698212,0,1227066,,,13,99203,,1.817770366841353
case_026,2,2,4,capls,0.5,0,0.042,0.148,True,48873,566560,566560,0,1095414,,,8,99203,,2.0298119616147976
case_026,2,2,4,capls,1.0,0,0.024,0.083,True,51471,493984,493984,0,1022838,,,8,99203,,1.9273571525713509
case_026,2,2,4,capls,2.0,0,0.019,0.058,True,42208,0,0,0,528854,,,4,99203,,2.3503364291129643
