case,num_cores,makespan,official_hit_bytes,official_miss_bytes,hit_rate,hit_input_reuse,hit_spill_reload,hit_cross_core_mid,miss_first_miss,miss_oversize,miss_concurrent_first_read,miss_fifo_evicted
case_001,2,116868,0,821504,0.0,0,0,0,820352,0,1152,0
case_002,2,121768,13824,1261056,0.010843373493975903,13824,0,0,1261056,0,0,0
case_003,2,285418,374790,1954316,0.16091581920273273,374790,0,0,1790348,0,163968,0
case_004,2,195960,215040,1072128,0.16706443914081145,215040,0,0,998400,0,73728,0
case_005,2,52945,109062,505254,0.1775340378567382,109062,0,0,500550,0,4704,0
case_006,2,39976,337412,625220,0.35050985215534075,337412,0,0,625220,0,0,0
case_007,2,507494,0,907776,0.0,0,0,0,880128,0,27648,0
case_008,2,155082,0,1990872,0.0,0,0,0,1990872,0,0,0
case_009,2,91263,162310,563630,0.2235859712923933,162310,0,0,563598,0,32,0
case_010,2,41582,174912,544788,0.2430345977490621,174912,0,0,544788,0,0,0
case_011,2,92646,0,720896,0.0,0,0,0,540672,0,180224,0
case_012,2,21950,0,484096,0.0,0,0,0,484096,0,0,0
case_013,2,132198,0,2031616,0.0,0,0,0,2023424,0,8192,0
case_014,2,8896369,16289280,69638520,0.18956938266777457,16289280,0,0,9928920,0,0,59709600
case_015,2,83405,11520,1023754,0.011127488954614913,11520,0,0,925450,0,98304,0
case_016,2,7715523,0,393216,0.0,0,0,0,393216,0,0,0
case_017,2,71293,32640,584270,0.052908852182652254,32640,0,0,535118,0,49152,0
case_018,2,502856,2814976,2125076,0.569827200199512,2814976,0,0,1592596,0,0,532480
case_019,2,34656,57888,405558,0.12490775624344584,57888,0,0,405558,0,0,0
case_020,2,266580,0,1179648,0.0,0,0,0,1179648,0,0,0
case_021,2,3193634,1204224,4325376,0.21777777777777776,1204224,0,0,2355200,0,1536000,434176
case_022,2,27481,0,213540,0.0,0,0,0,213540,0,0,0
case_023,2,41726,49152,458698,0.09678448360736439,49152,0,0,434122,0,24576,0
case_024,2,2555343,0,393216,0.0,0,0,0,393216,0,0,0
case_025,2,2431840,0,4150272,0.0,0,0,0,4122624,0,27648,0
case_026,2,48612,185776,505272,0.26883226635486973,185776,0,0,505272,0,0,0
case_027,2,1115722,0,2949120,0.0,0,0,0,1843200,0,1105920,0
case_028,2,20009296,2148480,13308096,0.1390010310174776,2148480,0,0,13278336,0,4536,25224
case_029,2,19737,12288,260188,0.04509754987595238,12288,0,0,260188,0,0,0
case_030,2,1399744,4511744,5660672,0.44352728004831893,4511744,0,0,2448384,0,0,3212288
case_031,2,710284,2110464,4106356,0.3394764525915179,2110464,0,0,2184820,0,0,1921536
case_032,2,20940,147544,294562,0.3337299199739429,147544,0,0,284322,0,10240,0
case_033,2,893649,2839584,6275120,0.31153880586796895,2839584,0,0,2889776,0,78336,3307008
case_034,2,412214,1232384,2286128,0.3502571541606224,1232384,0,0,2279984,0,6144,0
case_035,2,95406,0,396878,0.0,0,0,0,396878,0,0,0
case_036,2,466068,0,3279104,0.0,0,0,0,3277952,0,1152,0
case_037,2,105374,0,737280,0.0,0,0,0,532480,0,204800,0
case_038,2,678831,1605120,6797322,0.1910301790836521,1605120,0,0,2794506,0,0,4002816
case_039,2,705615,5652480,9617408,0.3701716738197425,5652480,0,0,4202496,0,311296,5103616
case_040,2,128421,0,911174,0.0,0,0,0,911174,0,0,0
case_041,2,2981380,7695360,30849024,0.1996493185622061,7695360,0,0,4948992,0,6144,25893888
case_042,2,840543,3428640,6201120,0.356046256604526,3428640,0,0,2364192,0,55296,3781632
case_043,2,327792,902204,1931308,0.31840486294040754,902204,0,0,1912748,0,6272,12288
case_044,2,43910,2848,1880480,0.0015122166717640262,2848,0,0,952928,0,927552,0
case_045,2,63059,0,278528,0.0,0,0,0,278528,0,0,0
case_046,2,105718,0,1926336,0.0,0,0,0,995936,0,930400,0
case_047,2,156919,154118,784902,0.1641264296820089,154118,0,0,770502,0,14400,0
case_048,2,159138,582,526406,0.0011043894737641086,582,0,0,526406,0,0,0
case_049,2,100433,27654,298334,0.08483134348503626,27654,0,0,298302,0,32,0
case_050,2,80346,134566,388308,0.2573583693203334,134566,0,0,388308,0,0,0
case_051,2,607628,0,393216,0.0,0,0,0,393216,0,0,0
case_052,2,71775,46080,837692,0.052140144743214316,46080,0,0,810044,0,27648,0
case_053,2,703878,1289778,3391178,0.2755373047727857,1289778,0,0,3296998,0,18144,76036
case_054,2,411477,159748,1994952,0.07413932333967606,159748,0,0,1990790,0,4160,2
case_055,2,48250,57856,646172,0.08217854971677263,57856,0,0,646172,0,0,0
case_056,2,130574,92166,423934,0.17858167021894983,92166,0,0,423902,0,32,0
case_057,2,30053,240040,351478,0.40580337369277014,240040,0,0,351478,0,0,0
case_058,2,2262108,4595712,35491840,0.11464187187084908,4595712,0,0,6651904,0,0,28839936
case_059,2,369318,0,1441792,0.0,0,0,0,1081344,0,360448,0
case_060,2,451802,1947776,2875054,0.40386578005030244,1947776,0,0,2098734,0,0,776320
case_061,2,38873,25344,544036,0.04451157399276406,25344,0,0,544036,0,0,0
case_062,2,1428976,4608,13424640,0.0003431316481756834,4608,0,0,13424640,0,0,0
case_063,2,533800,571392,11496960,0.047346315387552504,571392,0,0,6990336,0,0,4506624
case_064,2,13674,11782,61030,0.1618139867054881,11782,0,0,59974,0,1056,0
case_065,2,21905,4608,308936,0.014696501926364403,4608,0,0,299720,0,9216,0
case_066,2,197561,285804,1403340,0.16920049445162758,285804,0,0,1317132,0,86208,0
case_067,2,30303605,3685888,7222528,0.3378939710403417,3685888,0,0,7186816,0,35712,0
case_068,2,197002,970894,3031406,0.2425840141918397,970894,0,0,3031214,0,192,0
case_069,2,13112,52998,272838,0.16265237726954665,52998,0,0,272742,0,96,0
