[p3] 10/500 tasks  1.3s  rows=80
[p3] 20/500 tasks  2.4s  rows=196
[p3] 30/500 tasks  4.0s  rows=312
[p3] 40/500 tasks  6.4s  rows=428
[p3] 50/500 tasks  8.5s  rows=544
[p3] 60/500 tasks  11.3s  rows=660
[p3] 70/500 tasks  14.8s  rows=776
[p3] 80/500 tasks  18.7s  rows=892
[p3] 90/500 tasks  22.9s  rows=1008
[p3] 100/500 tasks  26.8s  rows=1124
[p3] 110/500 tasks  29.7s  rows=1240
[p3] 120/500 tasks  32.6s  rows=1356
[p3] 130/500 tasks  35.0s  rows=1472
[p3] 140/500 tasks  39.5s  rows=1588
[p3] 150/500 tasks  44.2s  rows=1704
[p3] 160/500 tasks  48.0s  rows=1820
[p3] 170/500 tasks  51.0s  rows=1936
[p3] 180/500 tasks  53.0s  rows=2052
[p3] 190/500 tasks  57.9s  rows=2168
[p3] 200/500 tasks  64.1s  rows=2284
[p3] 210/500 tasks  68.1s  rows=2400
[p3] 220/500 tasks  70.8s  rows=2516
[p3] 230/500 tasks  74.9s  rows=2632
[p3] 240/500 tasks  82.2s  rows=2748
[p3] 250/500 tasks  84.5s  rows=2864
[p3] 260/500 tasks  89.1s  rows=2980
[p3] 270/500 tasks  95.6s  rows=3096
[p3] 280/500 tasks  101.4s  rows=3212
[p3] 290/500 tasks  107.0s  rows=3328
[p3] 300/500 tasks  112.6s  rows=3444
[p3] 310/500 tasks  116.7s  rows=3560
[p3] 320/500 tasks  122.5s  rows=3676
[p3] 330/500 tasks  128.0s  rows=3792
[p3] 340/500 tasks  131.7s  rows=3908
[p3] 350/500 tasks  137.5s  rows=4024
[p3] 360/500 tasks  143.5s  rows=4140
[p3] 370/500 tasks  151.2s  rows=4256
[p3] 380/500 tasks  162.4s  rows=4372
[p3] 390/500 tasks  168.7s  rows=4488
[p3] 400/500 tasks  176.1s  rows=4604
[p3] 410/500 tasks  184.1s  rows=4720
[p3] 420/500 tasks  192.3s  rows=4836
[p3] 430/500 tasks  205.5s  rows=4952
[p3] 440/500 tasks  211.0s  rows=5068
[p3] 450/500 tasks  215.8s  rows=5184
[p3] 460/500 tasks  221.3s  rows=5300
[p3] 470/500 tasks  225.7s  rows=5416
[p3] 480/500 tasks  230.4s  rows=5532
[p3] 490/500 tasks  234.5s  rows=5660
[p3] 500/500 tasks  247.5s  rows=5800
wrote results\p3_compare.csv 5800 rows in 251.3s
