[main] 10/800 tasks  2.9s  rows=190
[main] 20/800 tasks  4.5s  rows=380
[main] 30/800 tasks  14.2s  rows=570
[main] 40/800 tasks  19.7s  rows=760
[main] 50/800 tasks  22.2s  rows=950
[main] 60/800 tasks  30.6s  rows=1140
[main] 70/800 tasks  33.3s  rows=1330
[main] 80/800 tasks  35.9s  rows=1520
[main] 90/800 tasks  39.0s  rows=1710
[main] 100/800 tasks  42.3s  rows=1900
[main] 110/800 tasks  45.1s  rows=2090
[main] 120/800 tasks  72.3s  rows=2280
[main] 130/800 tasks  76.2s  rows=2470
[main] 140/800 tasks  80.2s  rows=2660
[main] 150/800 tasks  83.2s  rows=2850
[main] 160/800 tasks  87.7s  rows=3040
[main] 170/800 tasks  89.8s  rows=3230
[main] 180/800 tasks  92.2s  rows=3420
[main] 190/800 tasks  98.5s  rows=3610
[main] 200/800 tasks  102.7s  rows=3800
[main] 210/800 tasks  145.2s  rows=3990
[main] 220/800 tasks  148.9s  rows=4180
[main] 230/800 tasks  152.4s  rows=4370
[main] 240/800 tasks  168.5s  rows=4560
[main] 250/800 tasks  174.8s  rows=4750
[main] 260/800 tasks  181.4s  rows=4940
[main] 270/800 tasks  185.7s  rows=5130
[main] 280/800 tasks  189.8s  rows=5320
[main] 290/800 tasks  192.7s  rows=5510
[main] 300/800 tasks  207.7s  rows=5700
[main] 310/800 tasks  213.8s  rows=5890
[main] 320/800 tasks  224.4s  rows=6080
[main] 330/800 tasks  241.0s  rows=6270
[main] 340/800 tasks  251.4s  rows=6460
[main] 350/800 tasks  255.2s  rows=6650
[main] 360/800 tasks  258.2s  rows=6840
[main] 370/800 tasks  265.8s  rows=7030
[main] 380/800 tasks  276.8s  rows=7220
[main] 390/800 tasks  285.3s  rows=7410
[main] 400/800 tasks  288.1s  rows=7600
[main] 410/800 tasks  293.7s  rows=7790
[main] 420/800 tasks  306.3s  rows=7980
[main] 430/800 tasks  313.0s  rows=8170
[main] 440/800 tasks  330.2s  rows=8360
[main] 450/800 tasks  342.1s  rows=8550
[main] 460/800 tasks  356.6s  rows=8740
[main] 470/800 tasks  373.2s  rows=8930
[main] 480/800 tasks  382.2s  rows=9120
[main] 490/800 tasks  415.7s  rows=9310
[main] 500/800 tasks  427.6s  rows=9500
[main] 510/800 tasks  432.5s  rows=9690
[main] 520/800 tasks  455.4s  rows=9880
[main] 530/800 tasks  463.9s  rows=10070
[main] 540/800 tasks  474.0s  rows=10260
[main] 550/800 tasks  477.1s  rows=10450
[main] 560/800 tasks  480.9s  rows=10640
[main] 570/800 tasks  490.9s  rows=10830
[main] 580/800 tasks  498.9s  rows=11020
[main] 590/800 tasks  523.7s  rows=11210
[main] 600/800 tasks  576.7s  rows=11400
[main] 610/800 tasks  589.8s  rows=11590
[main] 620/800 tasks  599.3s  rows=11780
[main] 630/800 tasks  606.5s  rows=11970
[main] 640/800 tasks  617.7s  rows=12160
[main] 650/800 tasks  635.8s  rows=12350
[main] 660/800 tasks  669.1s  rows=12540
[main] 670/800 tasks  683.8s  rows=12730
[main] 680/800 tasks  705.8s  rows=12920
[main] 690/800 tasks  733.6s  rows=13110
[main] 700/800 tasks  745.1s  rows=13300
[main] 710/800 tasks  750.9s  rows=13490
[main] 720/800 tasks  788.3s  rows=13680
[main] 730/800 tasks  793.5s  rows=13870
[main] 740/800 tasks  796.9s  rows=14060
[main] 750/800 tasks  806.4s  rows=14250
[main] 760/800 tasks  811.3s  rows=14440
[main] 770/800 tasks  818.4s  rows=14630
[main] 780/800 tasks  824.6s  rows=14820
[main] 790/800 tasks  829.8s  rows=15010
[main] 800/800 tasks  837.7s  rows=15200
wrote results\main_p23.csv 15200 rows in 841.0s
