[p3] 10/500 tasks  0.8s  rows=90
[p3] 20/500 tasks  1.6s  rows=222
[p3] 30/500 tasks  2.4s  rows=354
[p3] 40/500 tasks  3.9s  rows=486
[p3] 50/500 tasks  5.4s  rows=618
[p3] 60/500 tasks  8.0s  rows=750
[p3] 70/500 tasks  10.2s  rows=882
[p3] 80/500 tasks  12.4s  rows=1014
[p3] 90/500 tasks  15.1s  rows=1146
[p3] 100/500 tasks  17.6s  rows=1278
[p3] 110/500 tasks  19.8s  rows=1410
[p3] 120/500 tasks  21.2s  rows=1542
[p3] 130/500 tasks  22.9s  rows=1674
[p3] 140/500 tasks  25.7s  rows=1806
[p3] 150/500 tasks  28.3s  rows=1938
[p3] 160/500 tasks  30.9s  rows=2070
[p3] 170/500 tasks  32.4s  rows=2202
[p3] 180/500 tasks  33.6s  rows=2334
[p3] 190/500 tasks  36.3s  rows=2466
[p3] 200/500 tasks  38.6s  rows=2598
[p3] 210/500 tasks  41.0s  rows=2730
[p3] 220/500 tasks  43.6s  rows=2862
[p3] 230/500 tasks  46.3s  rows=2994
[p3] 240/500 tasks  50.8s  rows=3126
[p3] 250/500 tasks  52.0s  rows=3258
[p3] 260/500 tasks  55.8s  rows=3390
[p3] 270/500 tasks  60.3s  rows=3522
[p3] 280/500 tasks  64.4s  rows=3654
[p3] 290/500 tasks  68.2s  rows=3786
[p3] 300/500 tasks  71.5s  rows=3918
[p3] 310/500 tasks  73.9s  rows=4050
[p3] 320/500 tasks  77.1s  rows=4182
[p3] 330/500 tasks  80.4s  rows=4314
[p3] 340/500 tasks  82.8s  rows=4446
[p3] 350/500 tasks  84.7s  rows=4578
[p3] 360/500 tasks  86.9s  rows=4710
[p3] 370/500 tasks  90.4s  rows=4842
[p3] 380/500 tasks  94.7s  rows=4974
[p3] 390/500 tasks  98.6s  rows=5106
[p3] 400/500 tasks  101.2s  rows=5238
[p3] 410/500 tasks  105.6s  rows=5370
[p3] 420/500 tasks  108.7s  rows=5502
[p3] 430/500 tasks  115.7s  rows=5634
[p3] 440/500 tasks  118.8s  rows=5766
[p3] 450/500 tasks  121.8s  rows=5898
[p3] 460/500 tasks  126.1s  rows=6030
[p3] 470/500 tasks  129.8s  rows=6162
[p3] 480/500 tasks  133.2s  rows=6294
[p3] 490/500 tasks  136.9s  rows=6440
[p3] 500/500 tasks  145.9s  rows=6600
wrote results\p3_compare.csv 6600 rows in 147.7s
