[ablation2] 10/384 tasks  1.1s  rows=90
[ablation2] 20/384 tasks  2.8s  rows=180
[ablation2] 30/384 tasks  7.3s  rows=270
[ablation2] 40/384 tasks  9.2s  rows=360
[ablation2] 50/384 tasks  12.2s  rows=450
[ablation2] 60/384 tasks  14.9s  rows=540
[ablation2] 70/384 tasks  26.5s  rows=630
[ablation2] 80/384 tasks  30.2s  rows=720
[ablation2] 90/384 tasks  34.8s  rows=810
[ablation2] 100/384 tasks  36.7s  rows=900
[ablation2] 110/384 tasks  79.7s  rows=990
[ablation2] 120/384 tasks  114.4s  rows=1080
[ablation2] 130/384 tasks  122.4s  rows=1170
[ablation2] 140/384 tasks  159.3s  rows=1260
[ablation2] 150/384 tasks  182.5s  rows=1350
[ablation2] 160/384 tasks  209.5s  rows=1440
[ablation2] 170/384 tasks  212.8s  rows=1530
[ablation2] 180/384 tasks  222.2s  rows=1620
[ablation2] 190/384 tasks  225.8s  rows=1710
[ablation2] 200/384 tasks  245.2s  rows=1800
[ablation2] 210/384 tasks  268.4s  rows=1890
[ablation2] 220/384 tasks  285.7s  rows=1980
[ablation2] 230/384 tasks  306.1s  rows=2070
[ablation2] 240/384 tasks  324.0s  rows=2160
[ablation2] 250/384 tasks  351.5s  rows=2250
[ablation2] 260/384 tasks  370.8s  rows=2340
[ablation2] 270/384 tasks  375.1s  rows=2430
[ablation2] 280/384 tasks  394.0s  rows=2520
[ablation2] 290/384 tasks  401.9s  rows=2610
[ablation2] 300/384 tasks  411.1s  rows=2700
[ablation2] 310/384 tasks  454.3s  rows=2790
[ablation2] 320/384 tasks  519.3s  rows=2880
[ablation2] 330/384 tasks  561.8s  rows=2970
[ablation2] 340/384 tasks  621.4s  rows=3060
[ablation2] 350/384 tasks  651.4s  rows=3150
[ablation2] 360/384 tasks  686.3s  rows=3240
[ablation2] 370/384 tasks  713.1s  rows=3330
[ablation2] 380/384 tasks  782.2s  rows=3420
[ablation2] 384/384 tasks  1118.5s  rows=3456
wrote results\ablation2_p1.csv 3456 rows in 1120.2s
