case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_001,2,2,2,capls,c0,0,0.022,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35}",True,
case_001,2,2,2,capls,c1,0,0.016,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.15}",False,
case_001,2,2,2,capls,c2,0,0.016,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,2,2,2,capls,c3,0,0.019,0.079,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,2,2,2,capls,c4,0,0.015,0.104,True,116868,1152,1152,0,1640704,,,200,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_001,2,2,2,capls,c5,0,0.019,0.104,True,116868,1152,1152,0,1640704,,,200,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_001,2,2,2,capls,c6,0,0.019,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_001,2,2,2,capls,c7,0,0.02,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.08}",False,
case_001,2,2,2,capls,c8,0,0.03,0.158,True,131999,1229952,1229952,0,2869504,,,3,233110,,1.7659982272592973,"{""block_cap"": 0.005}",False,
case_001,2,2,2,capls,c9,0,0.013,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_001,2,2,2,capls,c10,0,0.003,0.109,True,233110,0,0,0,1639552,,,1,233110,,1.0,"{""block_cap"": 0.35, ""cores_used"": 1}",False,
case_001,2,2,2,capls,c11,0,0.01,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_001,2,2,2,capls,c12,0,0.012,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_001,2,2,2,capls,c13,0,0.012,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_001,2,2,2,capls,c14,0,0.048,0.065,True,120180,99456,1152,98304,1739008,,,600,233110,,1.939673822599434,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,2,2,2,capls,c15,0,0.048,0.065,True,121284,132224,1152,131072,1771776,,,600,233110,,1.9220177434781174,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,2,2,2,capls,c16,0,0.048,0.065,True,120180,99456,1152,98304,1739008,,,600,233110,,1.939673822599434,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 0.0, ""nu"": 0.0, ""subgraph_mode"": ""op""}",False,
case_001,2,2,2,capls,c17,0,0.071,0.065,True,120180,99456,1152,98304,1739008,,,600,233110,,1.939673822599434,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,2,2,2,capls,s1,1,0.08,0.066,True,125340,99456,1152,98304,1739008,,,600,233110,,1.859821286101803,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 1, ""subgraph_mode"": ""op""}",False,
case_001,2,2,2,capls,s11,11,0.057,0.091,True,125412,99456,1152,98304,1739008,,,600,233110,,1.8587535483047875,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 11, ""subgraph_mode"": ""op""}",False,
case_001,2,2,2,capls,s12,12,0.062,0.098,True,123742,99456,1152,98304,1739008,,,600,233110,,1.8838389552455916,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 12, ""subgraph_mode"": ""op""}",False,
case_001,2,2,2,capls,_best,0,0.011,0.098,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35}",True,results\plans\case_001_p2_n2_capls_best.json
case_001,3,3,2,capls,c0,0,0.023,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35}",True,
case_001,3,3,2,capls,c1,0,0.012,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.15}",False,
case_001,3,3,2,capls,c2,0,0.014,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,3,3,2,capls,c3,0,0.017,0.097,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,3,3,2,capls,c4,0,0.018,0.107,True,116868,1152,1152,0,1640704,0.0,0,200,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_001,3,3,2,capls,c5,0,0.017,0.107,True,116868,1152,1152,0,1640704,0.0,0,200,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_001,3,3,2,capls,c6,0,0.016,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_001,3,3,2,capls,c7,0,0.019,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.08}",False,
case_001,3,3,2,capls,c8,0,0.034,0.12,True,131999,1229952,1229952,0,2869504,0.24964893119051335,409600,3,233110,,1.7659982272592973,"{""block_cap"": 0.005}",False,
case_001,3,3,2,capls,c9,0,0.016,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_001,3,3,2,capls,c10,0,0.003,0.073,True,233110,0,0,0,1639552,0.0,0,1,233110,,1.0,"{""block_cap"": 0.35, ""cores_used"": 1}",False,
case_001,3,3,2,capls,c11,0,0.013,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_001,3,3,2,capls,c12,0,0.018,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_001,3,3,2,capls,c13,0,0.018,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_001,3,3,2,capls,c14,0,0.057,0.104,True,120180,99456,1152,98304,1739008,0.0,0,600,233110,,1.939673822599434,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,3,3,2,capls,c15,0,0.073,0.068,True,121284,132224,1152,131072,1771776,0.0,0,600,233110,,1.9220177434781174,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,3,3,2,capls,c16,0,0.069,0.104,True,120180,99456,1152,98304,1739008,0.0,0,600,233110,,1.939673822599434,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 0.0, ""nu"": 0.0, ""subgraph_mode"": ""op""}",False,
case_001,3,3,2,capls,c17,0,0.059,0.104,True,120180,99456,1152,98304,1739008,0.0,0,600,233110,,1.939673822599434,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,3,3,2,capls,s1,1,0.063,0.074,True,125340,99456,1152,98304,1739008,0.0,0,600,233110,,1.859821286101803,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 1, ""subgraph_mode"": ""op""}",False,
case_001,3,3,2,capls,s11,11,0.071,0.088,True,125412,99456,1152,98304,1739008,0.0,0,600,233110,,1.8587535483047875,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 11, ""subgraph_mode"": ""op""}",False,
case_001,3,3,2,capls,s12,12,0.067,0.106,True,123742,99456,1152,98304,1739008,0.0,0,600,233110,,1.8838389552455916,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 12, ""subgraph_mode"": ""op""}",False,
case_001,3,3,2,capls,_best,0,0.016,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n2_capls_best.json
case_001,2,2,3,capls,c0,0,0.037,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35}",True,
case_001,2,2,3,capls,c1,0,0.019,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.15}",False,
case_001,2,2,3,capls,c2,0,0.022,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,2,2,3,capls,c3,0,0.027,0.071,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,2,2,3,capls,c4,0,0.028,0.08,True,78545,2304,2304,0,1641856,,,200,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_001,2,2,3,capls,c5,0,0.02,0.08,True,78545,2304,2304,0,1641856,,,200,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_001,2,2,3,capls,c6,0,0.024,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_001,2,2,3,capls,c7,0,0.022,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.08}",False,
case_001,2,2,3,capls,c8,0,0.033,0.154,True,97680,1648896,1648896,0,3288448,,,4,233110,,2.3864660114660117,"{""block_cap"": 0.005}",False,
case_001,2,2,3,capls,c9,0,0.017,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_001,2,2,3,capls,c10,0,0.013,0.071,True,116868,1152,1152,0,1640704,,,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""cores_used"": 2}",False,
case_001,2,2,3,capls,c11,0,0.019,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_001,2,2,3,capls,c12,0,0.027,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_001,2,2,3,capls,c13,0,0.019,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_001,2,2,3,capls,c14,0,0.054,0.103,True,82556,2304,2304,0,1641856,,,600,233110,,2.823659092010272,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,2,2,3,capls,c15,0,0.054,0.077,True,84296,51456,2304,49152,1691008,,,600,233110,,2.765374394989086,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,2,2,3,capls,c16,0,0.07,0.103,True,82556,2304,2304,0,1641856,,,600,233110,,2.823659092010272,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 0.0, ""nu"": 0.0, ""subgraph_mode"": ""op""}",False,
case_001,2,2,3,capls,c17,0,0.066,0.103,True,82556,2304,2304,0,1641856,,,600,233110,,2.823659092010272,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,2,2,3,capls,s1,1,0.059,0.063,True,88090,2304,2304,0,1641856,,,600,233110,,2.6462708593483937,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 1, ""subgraph_mode"": ""op""}",False,
case_001,2,2,3,capls,s12,12,0.059,0.095,True,87824,2304,2304,0,1641856,,,600,233110,,2.654285844416105,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 12, ""subgraph_mode"": ""op""}",False,
case_001,2,2,3,capls,s14,14,0.065,0.081,True,90284,2304,2304,0,1641856,,,600,233110,,2.5819635815869924,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 14, ""subgraph_mode"": ""op""}",False,
case_001,2,2,3,capls,_best,0,0.029,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35}",True,results\plans\case_001_p2_n3_capls_best.json
case_001,2,2,4,capls,c0,0,0.049,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35}",True,
case_001,2,2,4,capls,c1,0,0.038,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.15}",False,
case_001,2,2,4,capls,c2,0,0.038,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,2,2,4,capls,c3,0,0.027,0.103,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,2,2,4,capls,c4,0,0.042,0.095,True,58984,3456,3456,0,1643008,,,200,233110,,3.952088702020887,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
