case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_001,3,2,1,single,,0,0.0,0.109,True,233110,0,0,0,1639552,,,1,233110,,1.0,,,
case_001,3,3,1,single,,0,0.0,0.098,True,233110,0,0,0,1639552,0.0,0,1,233110,,1.0,,,
case_002,3,2,1,single,,0,0.001,0.334,True,261945,0,0,0,1224192,,,1,261945,,1.0,,,
case_002,3,3,1,single,,0,0.001,0.241,True,261945,0,0,0,1224192,0.0,0,1,261945,,1.0,,,
case_004,3,2,1,single,,0,0.0,0.085,True,392357,0,0,0,792576,,,1,392357,,1.0,,,
case_004,3,3,1,single,,0,0.0,0.094,True,392357,0,0,0,792576,0.0,0,1,392357,,1.0,,,
case_001,3,3,2,capls,c0,0,0.039,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35}",True,
case_001,3,3,2,capls,c1,0,0.028,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.15}",False,
case_001,3,3,2,capls,c2,0,0.031,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,3,3,2,capls,c3,0,0.029,0.097,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,3,3,2,capls,c4,0,0.027,0.107,True,116868,1152,1152,0,1640704,0.0,0,200,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_001,3,3,2,capls,c5,0,0.027,0.107,True,116868,1152,1152,0,1640704,0.0,0,200,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_001,3,3,2,capls,c6,0,0.035,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_001,3,3,2,capls,c7,0,0.029,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.08}",False,
case_001,3,3,2,capls,c8,0,0.053,0.12,True,131999,1229952,1229952,0,2869504,0.24964893119051335,409600,3,233110,,1.7659982272592973,"{""block_cap"": 0.005}",False,
case_001,3,3,2,capls,c9,0,0.038,0.082,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_001,3,3,2,capls,c10,0,0.009,0.073,True,233110,0,0,0,1639552,0.0,0,1,233110,,1.0,"{""block_cap"": 0.35, ""cores_used"": 1}",False,
