case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_006,2,2,2,capls,c0,0,0.023,0.095,True,49331,364344,364344,0,907692,,,5,82837,,1.6792078003689364,"{""block_cap"": 0.35}",False,
case_006,2,2,2,capls,c1,0,0.016,0.132,True,50823,537418,537418,0,1080766,,,9,82837,,1.6299116541723235,"{""block_cap"": 0.15}",False,
case_006,2,2,2,capls,c2,0,0.018,0.124,True,54963,358982,358982,0,902330,,,6,82837,,1.507141167694631,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_006,2,2,2,capls,c3,0,0.04,0.121,True,43854,76680,76680,0,620028,,,4,82837,,1.8889268937839194,"{""block_cap"": 0.35, ""init"": ""contig""}",True,
case_006,2,2,2,capls,c4,0,0.012,0.116,True,64747,364344,364344,0,907692,,,69,82837,,1.2793951843328648,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_006,2,2,2,capls,c5,0,0.025,0.132,True,53637,358982,358982,0,902330,,,69,82837,,1.5444003206741614,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_006,2,2,2,capls,c6,0,0.017,0.094,True,49331,364344,364344,0,907692,,,5,82837,,1.6792078003689364,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_006,2,2,2,capls,c7,0,0.019,0.154,True,51396,466906,466906,0,1010254,,,9,82837,,1.6117402132461671,"{""block_cap"": 0.08}",False,
case_006,2,2,2,capls,c8,0,0.052,0.125,True,49701,1153948,1153948,0,1697296,,,15,82837,,1.666706907305688,"{""block_cap"": 0.005}",False,
case_006,2,2,2,capls,c9,0,0.02,0.095,True,49331,364344,364344,0,907692,,,5,82837,,1.6792078003689364,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_006,2,2,2,capls,c10,0,0.003,0.108,True,82837,16400,0,16400,559748,,,1,82837,,1.0,"{""block_cap"": 0.35, ""cores_used"": 1}",False,
case_006,2,2,2,capls,c11,0,0.013,0.095,True,49331,364344,364344,0,907692,,,5,82837,,1.6792078003689364,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
