case,problem,num_cores,label,feasible,makespan,added_copy_bytes,speedup,cached,is_champion,error
case_001,1,2,a_full,True,116868,1152,1.9946,True,True,
case_001,1,2,a_no_balance,True,116868,1152,1.9946,True,False,
case_001,1,2,a_no_cache_aware,True,116868,1152,1.9946,True,False,
case_001,1,2,a_no_level,True,173100,229248,1.3467,True,False,
case_001,1,2,a_no_localsearch,True,116868,1152,1.9946,True,False,
case_001,1,2,a_no_sync,True,116868,1152,1.9946,True,False,
case_001,1,2,b_comm,True,173100,229248,1.3467,True,False,
case_001,1,2,c0,True,116868,1152,1.9946,True,False,
case_001,1,2,c1,True,116868,1152,1.9946,True,False,
case_001,1,2,c10,True,233110,0,1.0,True,False,
case_001,1,2,c11,True,233110,0,1.0,True,False,
case_001,1,2,c12,True,116868,1152,1.9946,True,False,
case_001,1,2,c13,True,116868,1152,1.9946,True,False,
case_001,1,2,c2,True,116868,1152,1.9946,True,False,
case_001,1,2,c3,True,116868,1152,1.9946,True,False,
case_001,1,2,c4,True,173100,229248,1.3467,True,False,
case_001,1,2,c5,True,173100,229248,1.3467,True,False,
case_001,1,2,c6,True,116868,1152,1.9946,True,False,
case_001,1,2,c7,True,116868,1152,1.9946,True,False,
case_001,1,2,c8,True,138416,1229952,1.6841,True,False,
case_001,1,2,c9,True,116868,1152,1.9946,True,False,
case_001,1,2,g_0.03,True,116868,1152,1.9946,True,False,
case_001,1,2,g_0.06,True,116868,1152,1.9946,True,False,
case_001,1,2,g_0.12,True,116868,1152,1.9946,True,False,
case_001,1,2,g_0.25,True,116868,1152,1.9946,True,False,
case_001,1,2,g_0.5,True,116868,1152,1.9946,True,False,
case_001,1,2,g_1.0,True,116868,1152,1.9946,True,False,
case_001,1,2,g_2.0,True,233110,0,1.0,True,False,
case_001,1,3,a_full,True,78545,2304,2.9679,True,True,
case_001,1,3,a_no_balance,True,78545,2304,2.9679,True,False,
case_001,1,3,a_no_cache_aware,True,78545,2304,2.9679,True,False,
case_001,1,3,a_no_level,True,126372,229248,1.8446,True,False,
case_001,1,3,a_no_localsearch,True,78545,2304,2.9679,True,False,
case_001,1,3,a_no_sync,True,78545,2304,2.9679,True,False,
case_001,1,3,b_comm,True,126372,229248,1.8446,True,False,
case_001,1,3,c0,True,78545,2304,2.9679,True,False,
case_001,1,3,c1,True,78545,2304,2.9679,True,False,
case_001,1,3,c10,True,116868,1152,1.9946,True,False,
case_001,1,3,c11,True,233110,0,1.0,True,False,
case_001,1,3,c12,True,78545,2304,2.9679,True,False,
case_001,1,3,c13,True,78545,2304,2.9679,True,False,
case_001,1,3,c2,True,78545,2304,2.9679,True,False,
case_001,1,3,c3,True,78545,2304,2.9679,True,False,
case_001,1,3,c4,True,126372,229248,1.8446,True,False,
case_001,1,3,c5,True,126372,229248,1.8446,True,False,
case_001,1,3,c6,True,78545,2304,2.9679,True,False,
case_001,1,3,c7,True,78545,2304,2.9679,True,False,
case_001,1,3,c8,True,107200,1648896,2.1745,True,False,
case_001,1,3,c9,True,78545,2304,2.9679,True,False,
case_001,1,3,embed_n2,True,116868,1152,1.9946,True,False,
case_001,1,3,g_0.03,True,78545,2304,2.9679,True,False,
case_001,1,3,g_0.06,True,78545,2304,2.9679,True,False,
case_001,1,3,g_0.12,True,78545,2304,2.9679,True,False,
case_001,1,3,g_0.25,True,78545,2304,2.9679,True,False,
case_001,1,3,g_0.5,True,78545,2304,2.9679,True,False,
case_001,1,3,g_1.0,True,78545,2304,2.9679,True,False,
case_001,1,3,g_2.0,True,78545,2304,2.9679,True,False,
case_001,1,4,a_full,True,58984,3456,3.9521,True,True,
case_001,1,4,a_no_balance,True,58984,3456,3.9521,True,False,
case_001,1,4,a_no_cache_aware,True,58984,3456,3.9521,True,False,
case_001,1,4,a_no_level,True,102300,229248,2.2787,True,False,
case_001,1,4,a_no_localsearch,True,58984,3456,3.9521,True,False,
case_001,1,4,a_no_sync,True,58984,3456,3.9521,True,False,
case_001,1,4,b_comm,True,102300,229248,2.2787,True,False,
case_001,1,4,c0,True,58984,3456,3.9521,True,False,
case_001,1,4,c1,True,58984,3456,3.9521,True,False,
