case,knob,value,is_default,problem,num_cores,sensitivity,runtime_s,feasible,makespan,added_copy_bytes,cache_hit_rate
case_001,bandwidth,60,True,2,4,True,0.164,True,58984,3456,
case_001,L1,524288,True,2,4,True,0.147,True,58984,3456,
case_001,UB,131072,True,2,4,True,0.157,True,58984,3456,
case_001,bandwidth,15,False,2,4,True,0.322,True,109908,3456,
case_001,bandwidth,240,False,2,4,True,0.271,True,58516,3456,
case_001,bandwidth,30,False,2,4,True,0.353,True,59604,3456,
case_001,bandwidth,120,False,2,4,True,0.33,True,58672,3456,
case_001,cache_capacity_bytes,1048576,True,3,4,True,0.155,True,58984,3456,0.0
case_001,L1,2097152,False,2,4,True,0.286,True,58984,3456,
case_001,UB,262144,False,2,4,True,0.27,True,58984,3456,
case_001,L1,1048576,False,2,4,True,0.318,True,58984,3456,
case_001,L1,262144,False,2,4,True,0.338,True,58984,3456,
case_001,UB,65536,False,2,4,True,0.281,True,58984,3456,
case_001,L1,131072,False,2,4,True,0.365,True,58984,3456,
case_001,UB,524288,False,2,4,True,0.313,True,58984,3456,
case_001,UB,32768,False,2,4,True,0.354,True,58984,3456,
case_001,cache_capacity_bytes,65536,False,3,4,True,0.34,True,58984,3456,0.0
case_001,cache_bandwidth_bytes_per_cycle,250,True,3,4,True,0.161,True,58984,3456,0.0
case_001,cache_capacity_bytes,262144,False,3,4,True,0.368,True,58984,3456,0.0
case_001,cross_core_copy_delay_cycles,500,True,2,4,True,0.154,True,58984,3456,
case_001,cache_capacity_bytes,4194304,False,3,4,True,0.324,True,58984,3456,0.0
case_001,cache_bandwidth_bytes_per_cycle,60,False,3,4,True,0.308,True,58984,3456,0.0
case_001,cache_bandwidth_bytes_per_cycle,125,False,3,4,True,0.298,True,58984,3456,0.0
case_001,task_cross_core_wait_cycles,1000,True,1,4,True,0.141,True,58984,3456,
case_001,cross_core_copy_delay_cycles,0,False,2,4,True,0.268,True,58984,3456,
case_001,cross_core_copy_delay_cycles,8000,False,2,4,True,0.25,True,58984,3456,
