case,problem,num_cores,match,cli_makespan,expected_makespan,cli_added_copy_bytes,expected_added_copy_bytes,cli_hit_rate,expected_hit_rate,cli_seconds,error
case_001,1,1,True,233110,233110,0,0,,,0.4,
case_002,1,1,True,261945,261945,0,0,,,0.8,
case_003,1,1,True,602212,602212,0,0,,,58.0,
case_004,1,1,True,392357,392357,0,0,,,0.4,
case_005,1,1,True,95618,95618,0,0,,,3.0,
case_006,1,1,True,82837,82837,16400,16400,,,0.3,
case_007,1,1,True,1012562,1012562,0,0,,,4.6,
case_008,1,1,True,487605,487605,0,0,,,0.5,
case_009,1,1,True,153261,153261,0,0,,,6.4,
case_010,1,1,True,86969,86969,0,0,,,0.3,
case_011,1,1,True,184697,184697,0,0,,,0.3,
case_012,1,1,True,59088,59088,0,0,,,0.5,
case_013,1,1,True,263949,263949,0,0,,,1.8,
case_014,1,1,True,17698626,17698626,71010720,71010720,,,1587.1,
case_015,1,1,True,177362,177362,180256,180256,,,0.5,
case_016,1,1,True,7715523,7715523,0,0,,,127.5,
case_017,1,1,True,162810,162810,22528,22528,,,0.6,
case_018,1,1,True,1004367,1004367,1970176,1970176,,,2.0,
case_019,1,1,True,81144,81144,0,0,,,0.3,
case_020,1,1,True,532746,532746,0,0,,,9.9,
case_021,1,1,True,6567937,6567937,4501504,4501504,,,6.1,
case_022,1,1,True,56780,56780,0,0,,,0.6,
case_023,1,1,True,122614,122614,0,0,,,0.4,
case_024,1,1,True,2555343,2555343,0,0,,,6.3,
case_025,1,1,True,4863026,4863026,0,0,,,301.9,
case_026,1,1,True,99203,99203,0,0,,,0.3,
case_027,1,1,True,2363952,2363952,1400832,1400832,,,0.9,
case_028,1,1,True,43836040,43836040,277412256,277412256,,,456.4,
case_029,1,1,True,37555,37555,0,0,,,0.4,
case_030,1,1,True,2808034,2808034,5519360,5519360,,,59.6,
case_031,1,1,True,1414369,1414369,3491328,3491328,,,9.1,
case_032,1,1,True,41443,41443,0,0,,,0.4,
case_033,1,1,True,1774196,1774196,4592640,4592640,,,3.6,
case_034,1,1,True,842996,842996,1079832,1079832,,,3.7,
case_035,1,1,True,169571,169571,0,0,,,2.7,
case_036,1,1,True,931510,931510,0,0,,,2.4,
case_037,1,1,True,210001,210001,0,0,,,0.4,
case_038,1,1,True,1364555,1364555,5627904,5627904,,,14.6,
case_039,1,1,True,1435262,1435262,7929856,7929856,,,13.7,
case_040,1,1,True,253454,253454,0,0,,,1.6,
case_041,1,1,True,6003957,6003957,30898176,30898176,,,310.1,
case_042,1,1,True,1686740,1686740,6629376,6629376,,,8.0,
case_043,1,1,True,677656,677656,49160,49160,,,17.6,
case_044,1,1,True,154407,154407,4438112,4438112,,,0.7,
case_045,1,1,True,125614,125614,0,0,,,0.7,
case_046,1,1,True,276455,276455,3176288,3176288,,,0.5,
case_047,1,1,True,326508,326508,0,0,,,53.7,
case_048,1,1,True,222220,222220,0,0,,,0.8,
case_049,1,1,True,196276,196276,0,0,,,3.0,
case_050,1,1,True,149690,149690,0,0,,,3.0,
case_051,1,1,True,607628,607628,0,0,,,0.6,
case_052,1,1,True,180301,180301,0,0,,,0.5,
case_053,1,1,True,1472686,1472686,5405536,5405536,,,34.1,
case_054,1,1,True,815051,815051,0,0,,,90.2,
case_055,1,1,True,118835,118835,69632,69632,,,0.5,
