case,problem,num_cores,ok,expected_makespan,cli_makespan,cli_seconds,error
case_005,2,4,True,38285,38285,2.3,
case_005,2,5,True,38285,38285,2.4,
case_005,1,4,True,55517,55517,2.9,
case_005,1,5,True,55517,55517,3.3,
case_015,1,5,True,53003,53003,1.0,
case_009,1,4,True,88247,88247,4.2,
case_003,2,5,True,182260,182260,11.0,
case_003,3,5,True,179646,179646,11.0,
case_003,1,5,True,225768,225768,12.6,
case_016,2,2,True,7715523,7715523,23.4,
case_016,2,3,True,7715523,7715523,22.7,
case_016,2,5,True,6104382,6104382,13.6,
case_016,3,2,True,7715523,7715523,23.6,
case_016,3,3,True,7715523,7715523,23.3,
case_019,1,5,True,24731,24731,0.5,
case_016,3,5,True,6103967,6103967,13.9,
case_022,1,5,True,14940,14940,1.1,
case_023,2,4,True,28284,28284,0.6,
case_024,2,2,True,2555343,2555343,3.5,
case_024,3,2,True,2555343,2555343,3.5,
case_026,2,4,True,38424,38424,0.4,
case_026,2,5,True,38424,38424,0.5,
case_026,3,5,True,38710,38710,0.5,
case_040,1,5,True,154465,154465,2.3,
case_040,2,5,True,102570,102570,2.5,
case_024,1,2,True,2555343,2555343,15.7,
case_044,1,3,True,96401,96401,0.7,
case_040,3,5,True,106160,106160,2.7,
case_044,1,4,True,96401,96401,0.8,
case_044,1,5,True,96401,96401,0.8,
case_044,2,3,True,43959,43959,0.7,
case_044,2,4,True,43959,43959,0.8,
case_044,2,5,True,43959,43959,0.7,
case_044,3,3,True,43910,43910,0.7,
case_044,3,5,True,40054,40054,0.8,
case_046,1,5,True,115384,115384,0.7,
case_046,2,5,True,92005,92005,0.7,
case_046,3,5,True,85582,85582,0.6,
case_048,1,4,True,202773,202773,1.3,
case_048,1,5,True,202773,202773,1.1,
case_048,2,5,True,146560,146560,1.5,
case_048,3,5,True,142969,142969,1.8,
case_050,2,5,True,43625,43625,2.7,
case_050,3,5,True,43605,43605,2.7,
case_051,1,2,True,607628,607628,1.0,
case_051,2,2,True,607628,607628,0.6,
case_051,3,2,True,607628,607628,0.6,
case_051,2,5,True,345402,345402,0.7,
case_051,3,5,True,344572,344572,0.7,
case_053,1,4,True,669050,669050,9.9,
case_054,1,5,True,275253,275253,15.2,
case_054,2,5,True,245854,245854,13.1,
case_064,1,4,True,17646,17646,0.6,
case_064,2,5,True,11254,11254,0.5,
case_064,3,5,True,11227,11227,0.6,
case_068,1,4,True,187636,187636,4.0,
case_054,3,5,True,243498,243498,13.9,
case_068,1,5,True,187636,187636,4.1,
case_068,2,4,True,149508,149508,3.8,
case_068,2,5,True,149508,149508,3.8,
case_068,3,5,True,120739,120739,3.9,
case_069,1,5,True,20155,20155,1.0,
case_069,2,4,True,12273,12273,0.6,
case_069,2,5,True,12273,12273,0.6,
case_071,1,5,True,13881,13881,0.5,
case_069,3,5,True,10301,10301,0.6,
case_071,2,5,True,9527,9527,0.4,
case_071,3,5,True,8702,8702,0.5,
case_016,1,2,True,7715523,7715523,181.7,
case_016,1,4,True,7715523,7715523,181.1,
case_016,1,3,True,7715523,7715523,181.4,
case_016,1,5,True,7715523,7715523,181.2,
case_085,2,5,True,816364,816364,18.4,
case_085,1,5,True,951743,951743,18.7,
case_086,1,4,True,61208,61208,4.0,
case_086,1,5,True,61208,61208,3.9,
case_085,3,5,True,816273,816273,18.2,
case_086,2,4,True,47791,47791,3.0,
case_086,3,5,True,38643,38643,3.0,
case_088,1,4,True,121225,121225,1.9,
case_088,1,5,True,121225,121225,2.0,
case_088,2,4,True,99762,99762,1.9,
case_090,1,4,True,506027,506027,1.2,
case_088,2,5,True,99762,99762,2.0,
case_088,3,5,True,88285,88285,2.1,
case_090,1,5,True,506027,506027,1.3,
case_090,2,5,True,278236,278236,1.2,
case_090,3,5,True,259720,259720,0.8,
case_096,1,3,True,44237,44237,0.9,
case_096,1,5,True,38923,38923,0.8,
case_098,2,4,True,64508,64508,0.8,
case_098,3,4,True,64155,64155,0.6,
case_100,1,4,True,63340,63340,0.9,
case_100,1,5,True,63340,63340,0.9,
case_085,1,2,True,3187899,3187899,179.8,
case_076,1,2,True,6185113,6185113,1387.0,
case_076,1,3,True,6185113,6185113,1429.2,
case_091,1,3,True,9186769,9186769,1402.5,
case_091,1,2,True,9186769,9186769,1420.8,
case_014,1,2,True,17698626,17698626,1668.1,
case_014,1,3,True,17698626,17698626,1676.1,
